Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2026-07-22,23.3,8.81,108.8,0,MOHK_D10,MHK
2026-07-22,23.3,8.82,109.2,1,MOHK_D10,MHK
2026-07-22,23.3,8.83,109.2,2,MOHK_D10,MHK
2026-07-22,23.3,8.8,108.8,3,MOHK_D10,MHK
2026-07-22,23,8.73,107.5,4,MOHK_D10,MHK
2026-07-22,20.8,11.94,140.9,5,MOHK_D10,MHK
2026-07-22,17,13.3,145.1,6,MOHK_D10,MHK
2026-07-22,12.7,12.85,127.9,7,MOHK_D10,MHK
2026-07-22,10.4,11.57,109.1,8,MOHK_D10,MHK
2026-07-22,8.9,8.64,78.5,9,MOHK_D10,MHK
2026-07-22,7.9,6.7,53.9,10,MOHK_D10,MHK
2026-07-22,7.2,3.87,33.7,11,MOHK_D10,MHK
2026-07-22,6.6,0.43,3.7,12,MOHK_D10,MHK
