Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2025-03-26,6.1,10.97,92.4,0,MHK
2025-03-26,5.6,10.83,90,1,MHK
2025-03-26,5.1,10.83,88.8,2,MHK
2025-03-26,4.9,10.84,88.6,3,MHK
2025-03-26,4.8,10.83,88.4,4,MHK
2025-03-26,4.7,10.82,87.8,5,MHK
2025-03-26,4.6,10.79,87.4,6,MHK
2025-03-26,4.6,10.77,87.2,7,MHK
2025-03-26,4.5,10.74,86.8,8,MHK
2025-03-26,4.5,10.74,86.8,9,MHK
2025-03-26,4.4,10.69,86.3,10,MHK
2025-03-26,4.4,10.66,86,11,MHK
2025-03-26,4.4,10.63,85.7,12,MHK
