Date,temp_degC,doConcentration_mgpL,doSaturation_percent,Depth_m,site_no,lakeID
2025-07-09,26.9,8.03,105.2,0,MOHK_D10,MHK
2025-07-09,26.7,8.05,104.9,1,MOHK_D10,MHK
2025-07-09,26.3,8.01,103.7,2,MOHK_D10,MHK
2025-07-09,25,8.1,102.4,3,MOHK_D10,MHK
2025-07-09,18.5,10.95,122.1,4,MOHK_D10,MHK
2025-07-09,16,11.44,121.1,5,MOHK_D10,MHK
2025-07-09,11.4,11.78,112.5,6,MOHK_D10,MHK
2025-07-09,9,10.93,98.8,7,MOHK_D10,MHK
2025-07-09,8,10.48,92.2,8,MOHK_D10,MHK
2025-07-09,7.2,7.64,66,9,MOHK_D10,MHK
2025-07-09,6.6,4.7,40,10,MOHK_D10,MHK
2025-07-09,6.4,3.29,27.8,11,MOHK_D10,MHK
2025-07-09,6.2,1.09,9.2,12,MOHK_D10,MHK
