sample_no,Depth_m,collect_date,Temp_C_DOProbe,DO_mgpL,DO_Sat_Percent
1,0,2025-01-02,4.3,10.26,82.9
1,1,2025-01-02,4.1,10.2,82
1,2,2025-01-02,3.9,10.24,81.9
1,3,2025-01-02,3.8,10.28,81.9
1,4,2025-01-02,3.7,10.31,81.9
1,5,2025-01-02,3.7,10.32,81.9
1,6,2025-01-02,3.6,10.31,81.8
1,7,2025-01-02,3.6,10.31,81.7
1,8,2025-01-02,3.6,10.3,81.7
1,9,2025-01-02,3.6,10.31,81.6
1,10,2025-01-02,3.6,10.29,81.4
1,11,2025-01-02,3.6,10.28,81.4
1,12,2025-01-02,3.5,10.25,81.1
2,0,2025-01-15,0.6,12.2,88.3
2,1,2025-01-15,1.4,12.04,89.2
2,2,2025-01-15,1.4,11.93,88.4
2,3,2025-01-15,1.4,11.9,88.3
2,4,2025-01-15,1.5,11.8,87.5
2,5,2025-01-15,1.5,11.64,86.4
2,6,2025-01-15,1.5,11.64,86.4
2,7,2025-01-15,11.6,11.38,84.7
2,8,2025-01-15,1.8,11.13,83.3
2,9,2025-01-15,2.2,10.62,80.5
2,10,2025-01-15,2.7,10.11,77.7
2,11,2025-01-15,3,9.7,75.1
2,12,2025-01-15,3.2,9.15,71.1
3,0,2025-01-22,0,15.85,111.5
3,1,2025-01-22,1.5,12.17,89.1
3,2,2025-01-22,1.6,12.09,88.7
3,3,2025-01-22,1.6,12.05,88.5
3,4,2025-01-22,1.6,11.96,87.9
3,5,2025-01-22,1.6,11.74,86.3
3,6,2025-01-22,1.7,11.73,86.4
3,7,2025-01-22,1.8,11.56,85.4
3,8,2025-01-22,1.9,11.45,84.7
3,9,2025-01-22,2.2,10.59,79.1
3,10,2025-01-22,2.7,10.12,76.6
3,11,2025-01-22,3,9.62,73.4
3,12,2025-01-22,3.2,8.87,68.1
4,0,2025-01-29,1,12.78,96.1
4,1,2025-01-29,1.9,12.25,94.2
4,2,2025-01-29,1.9,11.91,91.8
4,3,2025-01-29,1.8,11.9,91.5
4,4,2025-01-29,1.9,11.7,90
4,5,2025-01-29,1.8,11.71,90
4,6,2025-01-29,1.9,11.58,89.1
4,7,2025-01-29,1.9,11.24,86.6
4,8,2025-01-29,2,10.91,84.3
4,9,2025-01-29,2.4,10.2,79.6
4,10,2025-01-29,2.7,9.93,78.1
4,11,2025-01-29,3,9.38,74.4
4,12,2025-01-29,3.2,7.89,62.9
5,0,2025-02-04,1.5,12.23,91.3
5,1,2025-02-04,2.1,11.94,90.7
5,2,2025-02-04,2.1,11.93,90.5
5,3,2025-02-04,2.1,11.9,90.3
5,4,2025-02-04,2,11.95,90.5
5,5,2025-02-04,2.1,11.87,90
5,6,2025-02-04,2.1,11.77,89.2
5,7,2025-02-04,2.1,1.66,88.4
5,8,2025-02-04,2.2,11,83.7
5,9,2025-02-04,2.4,10.2,78.1
5,10,2025-02-04,2.8,9.71,75.2
5,11,2025-02-04,3.1,9.17,71.5
5,12,2025-02-04,3.3,7.9,61.9
6,0,2025-02-12,0.1,13.19,93.5
6,1,2025-02-12,1.9,12.24,91.1
6,2,2025-02-12,2,12.07,90.3
6,3,2025-02-12,2.1,12.02,90
6,4,2025-02-12,2.1,11.97,89.6
6,5,2025-02-12,2.1,11.81,88.6
6,6,2025-02-12,2.2,11.46,86.1
6,7,2025-02-12,2.2,11.81,88.1
6,8,2025-02-12,2.3,11.16,84.1
6,9,2025-02-12,2.6,10.13,76.9
6,10,2025-02-12,2.9,9.6,73.5
6,11,2025-02-12,3.2,8.99,69.3
6,12,2025-02-12,3.3,8.26,63.9
7,0,2025-02-20,0.4,13.76,99.6
7,1,2025-02-20,1.8,12.36,92.9
7,2,2025-02-20,2.1,11.75,89.1
7,3,2025-02-20,2.1,11.63,88.3
7,4,2025-02-20,2.2,11.61,88.2
7,5,2025-02-20,2.2,11.58,88
7,6,2025-02-20,2.2,11.35,86.3
7,7,2025-02-20,2.3,11,83.9
7,8,2025-02-20,2.4,10.57,80.7
7,9,2025-02-20,2.6,10.06,77.2
7,10,2025-02-20,2.9,9.21,71.3
7,11,2025-02-20,3.1,8.87,69
7,12,2025-02-20,3.3,8.6,67.3
8,0,2025-02-26,2.8,12.1,94
8,1,2025-02-26,2.6,11.62,89.8
8,2,2025-02-26,2.7,11.33,87.7
8,3,2025-02-26,2.5,11.28,86.9
8,4,2025-02-26,2.5,11.08,85.3
8,5,2025-02-26,2.5,11.04,84.9
8,6,2025-02-26,2.5,10.98,84.4
8,7,2025-02-26,2.5,10.7,82.4
8,8,2025-02-26,2.5,10.33,79.5
8,9,2025-02-26,2.6,9.84,76
8,10,2025-02-26,2.8,9.86,76.4
8,11,2025-02-26,3,9.22,71.9
8,12,2025-02-26,3.2,8.05,63.2
9,0,2025-03-04,1.9,11.61,87
9,1,2025-03-04,2.6,11.83,90.4
9,2,2025-03-04,2.7,11.73,90
9,3,2025-03-04,2.7,11.73,90
9,4,2025-03-04,2.7,11.72,90
9,5,2025-03-04,2.8,11.79,90.6
9,6,2025-03-04,2.8,11.79,90.6
9,7,2025-03-04,2.8,11.75,90.3
9,8,2025-03-04,2.8,11.69,89.8
9,9,2025-03-04,2.8,11.61,89.2
9,10,2025-03-04,2.9,9.59,73.9
9,11,2025-03-04,3.1,8.79,68.1
9,12,2025-03-04,3.3,8.2,63.9
10,0,2025-03-12,2.1,11.4,86.4
10,1,2025-03-12,3.3,11.79,92.3
10,2,2025-03-12,3.4,11.87,93.1
10,3,2025-03-12,3.4,11.88,93.1
10,4,2025-03-12,3.4,11.84,92.8
10,5,2025-03-12,3.4,11.79,92.4
10,6,2025-03-12,3.4,11.74,92
10,7,2025-03-12,3.4,11.79,92.5
10,8,2025-03-12,3.4,11.84,92.8
10,9,2025-03-12,3.4,11.84,92.8
10,10,2025-03-12,3.4,11.78,92.4
10,11,2025-03-12,3.4,11.76,92.2
10,12,2025-03-12,3.4,11.51,90.3
11,0,2025-03-18,3.7,11.03,86.7
11,1,2025-03-18,3.9,11.25,89
11,2,2025-03-18,3.9,11.27,89.2
11,3,2025-03-18,3.8,11.25,89
11,4,2025-03-18,3.8,11.27,89
11,5,2025-03-18,3.8,11.24,88.8
11,6,2025-03-18,3.8,11.29,89.2
11,7,2025-03-18,3.8,11.32,89.4
11,8,2025-03-18,3.8,11.27,89
11,9,2025-03-18,3.8,11.28,89.1
11,10,2025-03-18,3.9,11.49,90.8
11,11,2025-03-18,3.9,11.39,90.1
11,12,2025-03-18,3.8,11.25,88.9
12,0,2025-03-26,6.1,10.97,92.4
12,1,2025-03-26,5.6,10.83,90
12,2,2025-03-26,5.1,10.83,88.8
12,3,2025-03-26,4.9,10.84,88.6
12,4,2025-03-26,4.8,10.83,88.4
12,5,2025-03-26,4.7,10.82,87.8
12,6,2025-03-26,4.6,10.79,87.4
12,7,2025-03-26,4.6,10.77,87.2
12,8,2025-03-26,4.5,10.74,86.8
12,9,2025-03-26,4.5,10.74,86.8
12,10,2025-03-26,4.4,10.69,86.3
12,11,2025-03-26,4.4,10.66,86
12,12,2025-03-26,4.4,10.63,85.7
13,0,2025-04-02,6.6,11.39,95.8
13,1,2025-04-02,6.3,11.42,95.3
13,2,2025-04-02,6.1,11.46,95.1
13,3,2025-04-02,6,11.45,94.7
13,4,2025-04-02,5.9,11.46,94.6
13,5,2025-04-02,5.8,11.37,93.6
13,6,2025-04-02,5.7,11.29,92.6
13,7,2025-04-02,5.6,11.25,92.2
13,8,2025-04-02,5.6,11.22,91.8
13,9,2025-04-02,5.4,11.09,90.3
13,10,2025-04-02,5.1,10.77,87
13,11,2025-04-02,5,10.58,85.2
13,12,2025-04-02,4.9,10.44,84
14,0,2025-04-09,6.3,11.67,98
14,1,2025-04-09,6.2,11.47,96.1
14,2,2025-04-09,6.1,11.42,95.5
14,3,2025-04-09,6,11.41,95.2
14,4,2025-04-09,6,11.39,95
14,5,2025-04-09,6,11.38,94.8
14,6,2025-04-09,6,11.36,94.6
14,7,2025-04-09,6,11.35,94.5
14,8,2025-04-09,6,11.33,94.4
14,9,2025-04-09,5.9,11.31,94.2
14,10,2025-04-09,5.9,11.3,94
14,11,2025-04-09,5.9,11.25,93.5
14,12,2025-04-09,5.4,10,82
15,0,2025-04-16,7,11.33,98.6
15,1,2025-04-16,6.8,11.35,98.3
15,2,2025-04-16,6.7,11.35,98
15,3,2025-04-16,6.6,11.38,98
15,4,2025-04-16,6.6,11.37,97.9
15,5,2025-04-16,6.6,11.36,97.7
15,6,2025-04-16,6.4,11.28,96.7
15,7,2025-04-16,6.3,11.26,96.3
15,8,2025-04-16,5.8,11.08,93.5
15,9,2025-04-16,5.7,10.98,92.2
15,10,2025-04-16,5.6,10.84,90.9
15,11,2025-04-16,5.5,10.82,90.7
15,12,2025-04-16,5.5,10.25,85.8
16,0,2025-04-22,11.7,10.4,100.4
16,1,2025-04-22,9.8,11.23,103.6
16,2,2025-04-22,9.7,11.23,103.4
16,3,2025-04-22,9.5,11.27,103.4
16,4,2025-04-22,9.3,11.25,102.8
16,5,2025-04-22,7.8,11.02,97.1
16,6,2025-04-22,7,10.8,93.2
16,7,2025-04-22,6.6,10.76,91.9
16,8,2025-04-22,6.4,10.7,90.8
16,9,2025-04-22,6.2,10.53,89
16,10,2025-04-22,6,10.37,87.3
16,11,2025-04-22,5.9,10.01,84
16,12,2025-04-22,5.8,9.69,81
17,0,2025-04-30,15,10.18,105.5
17,1,2025-04-30,15.7,10.27,105.8
17,2,2025-04-30,15.2,10.53,107.2
17,3,2025-04-30,13.5,10.63,106.6
17,4,2025-04-30,11.2,10.84,103.3
17,5,2025-04-30,9.4,10.71,97.8
17,6,2025-04-30,8.1,10.5,93
17,7,2025-04-30,7.5,10.29,89.6
17,8,2025-04-30,6.9,10.3,88.4
17,9,2025-04-30,6.5,10.08,85.7
17,10,2025-04-30,6.2,9.75,82.3
17,11,2025-04-30,6,9.16,76.9
17,12,2025-04-30,5.9,7.82,65.6
18,0,2025-05-07,16.6,9.79,105.2
18,1,2025-05-07,16.5,9.84,105.3
18,2,2025-05-07,16.2,9.85,104.9
18,3,2025-05-07,14.2,9.97,101.7
18,4,2025-05-07,11.4,10.23,98
18,5,2025-05-07,9.7,10.36,95.3
18,6,2025-05-07,8.6,9.96,89.2
18,7,2025-05-07,7.5,9.85,86
18,8,2025-05-07,6.8,9.79,83.9
18,9,2025-05-07,6.5,9.66,82.1
18,10,2025-05-07,6.2,8.55,72.1
18,11,2025-05-07,6,8.13,68.3
18,12,2025-05-07,5.9,7.12,59.6
