Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m,date
12/11/2024,10:45:03,Mohonk,4.475,10.65,82.3,0.29,-0.34,NA,96,0.04,62,718.8,MHK,0,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:45:24,Mohonk,4.22,10.58,81.2,0.22,-0.3,NA,94.3,0.04,61,718.7,MHK,0.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:46:01,Mohonk,4.156,10.46,80.1,0.2,-0.15,NA,93.8,0.04,61,718.7,MHK,0.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:46:35,Mohonk,4.134,10.38,79.5,0.22,-0.1,NA,93.7,0.04,61,718.7,MHK,0.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:47:00,Mohonk,4.125,10.35,79.2,0.3,0.01,NA,93.7,0.04,61,718.8,MHK,1,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:47:30,Mohonk,4.13,10.32,79,0.4,0.07,NA,93.7,0.04,61,718.8,MHK,1.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:48:00,Mohonk,4.131,10.3,78.9,0.44,0.09,NA,93.8,0.04,61,718.7,MHK,1.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:48:24,Mohonk,4.132,10.29,78.8,0.27,0.05,NA,93.8,0.04,61,718.7,MHK,1.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:48:53,Mohonk,4.133,10.27,78.7,0.28,0.09,NA,93.9,0.04,61,718.7,MHK,2,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:49:20,Mohonk,4.139,10.26,78.6,0.28,0.08,NA,94,0.04,61,718.7,MHK,2.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:50:06,Mohonk,4.148,10.25,78.5,0.44,0.13,NA,94.1,0.04,61,718.6,MHK,2.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:50:41,Mohonk,4.148,10.24,78.5,0.32,0.08,NA,94.1,0.04,61,718.6,MHK,2.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:51:23,Mohonk,4.139,10.24,78.4,0.33,0.14,NA,94.2,0.04,61,718.6,MHK,3,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:51:59,Mohonk,4.137,10.23,78.3,0.5,0.4,NA,94.3,0.04,61,718.6,MHK,3.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:52:48,Mohonk,4.133,10.21,78.2,0.42,0.11,NA,94.3,0.04,61,718.5,MHK,3.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:53:13,Mohonk,4.14,10.21,78.2,0.32,0.07,NA,94.4,0.04,61,718.5,MHK,3.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:53:47,Mohonk,4.141,10.2,78.1,0.38,0.1,NA,94.3,0.04,61,718.5,MHK,4,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:54:08,Mohonk,4.139,10.2,78.1,0.34,0.11,NA,94.3,0.04,61,718.5,MHK,4.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:54:37,Mohonk,4.135,10.2,78.1,0.29,0.13,NA,94.2,0.04,61,718.6,MHK,4.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:55:11,Mohonk,4.132,10.19,78,0.31,0.08,NA,94.2,0.04,61,718.6,MHK,4.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:55:35,Mohonk,4.127,10.19,78,0.4,0.16,NA,94.2,0.04,61,718.5,MHK,5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:55:58,Mohonk,4.128,10.18,78,0.32,0.1,NA,94.3,0.04,61,718.4,MHK,5.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:56:30,Mohonk,4.125,10.18,77.9,0.32,0.09,NA,94.3,0.04,61,718.5,MHK,5.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:56:54,Mohonk,4.13,10.17,77.9,0.27,0.13,NA,94.4,0.04,61,718.4,MHK,5.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:57:16,Mohonk,4.136,10.17,77.9,0.34,0.21,NA,94.3,0.04,61,718.4,MHK,6,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:58:01,Mohonk,4.141,10.17,77.9,0.25,0.1,NA,94.4,0.04,61,718.4,MHK,6.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:58:51,Mohonk,4.144,10.17,77.9,0.36,0.12,NA,94.8,0.04,62,718.4,MHK,6.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,10:59:34,Mohonk,4.14,10.17,77.9,0.46,0.16,NA,94.8,0.04,62,718.4,MHK,6.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:00:03,Mohonk,4.139,10.16,77.8,0.26,0.12,NA,94.7,0.04,62,718.3,MHK,7,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:00:36,Mohonk,4.136,10.15,77.7,0.33,0.1,NA,94.8,0.04,62,718.3,MHK,7.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:01:05,Mohonk,4.13,10.15,77.7,0.23,0.07,NA,94.8,0.04,62,718.4,MHK,7.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:01:45,Mohonk,4.131,10.15,77.7,0.35,0.17,NA,94.8,0.04,62,718.3,MHK,7.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:02:17,Mohonk,4.13,10.14,77.6,0.36,0.13,NA,94.8,0.04,62,718.3,MHK,8,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:02:39,Mohonk,4.129,10.14,77.6,0.34,0.14,NA,94.8,0.04,62,718.3,MHK,8.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:03:10,Mohonk,4.125,10.14,77.6,0.31,0.16,NA,94.8,0.04,62,718.2,MHK,8.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:03:44,Mohonk,4.125,10.14,77.6,0.31,0.09,NA,94.8,0.04,62,718.3,MHK,8.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:04:10,Mohonk,4.126,10.14,77.6,0.51,0.18,NA,94.8,0.04,62,718.2,MHK,9,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:04:47,Mohonk,4.126,10.13,77.6,0.47,0.18,NA,94.8,0.04,62,718.3,MHK,9.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:05:52,Mohonk,4.123,10.13,77.6,0.35,0.19,NA,94.9,0.04,62,718.1,MHK,9.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:06:21,Mohonk,4.128,10.13,77.5,0.34,0.12,NA,94.9,0.04,62,718.1,MHK,9.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:06:46,Mohonk,4.127,10.13,77.5,0.31,0.15,NA,94.9,0.04,62,718.1,MHK,10,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:07:15,Mohonk,4.128,10.12,77.5,0.3,0.13,NA,94.9,0.04,62,718.1,MHK,10.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:07:44,Mohonk,4.132,10.12,77.5,0.36,0.13,NA,95,0.04,62,718.1,MHK,10.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:08:05,Mohonk,4.135,10.12,77.5,0.32,0.09,NA,95.2,0.04,62,718,MHK,10.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:08:29,Mohonk,4.125,10.12,77.5,0.41,0.18,NA,95,0.04,62,718.1,MHK,11,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:09:07,Mohonk,4.125,10.12,77.5,0.35,0.18,NA,94.9,0.04,62,718,MHK,11.25,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:09:29,Mohonk,4.127,10.12,77.4,0.41,0.15,NA,94.9,0.04,62,718,MHK,11.5,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:09:55,Mohonk,4.126,10.11,77.4,0.46,0.16,NA,95,0.04,62,718,MHK,11.75,NA,NA,NA,41.766,-74.158,379,2024-12-11
12/11/2024,11:10:25,Mohonk,4.129,10.08,77.2,6.16,1.41,NA,95.1,0.04,62,718,MHK,12,NA,NA,NA,41.766,-74.158,379,2024-12-11
