Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m,date
4/8/2026,09:08:12,Mohonk,6.02,11.68,93.9,0.75,0.83,100.3,0.05,65,743,MHK,0,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:08:39,Mohonk,6.076,11.46,92.2,0.82,0.89,100.4,0.05,65,742.9,MHK,0.25,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:09:05,Mohonk,6.053,11.37,91.5,1.47,0.98,100.4,0.05,65,743,MHK,0.5,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:09:30,Mohonk,5.986,11.32,90.9,2.09,1.28,100.5,0.05,65,742.9,MHK,0.75,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:10:05,Mohonk,5.972,11.25,90.3,1.86,1.23,100.6,0.05,65,742.9,MHK,1,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:10:30,Mohonk,5.975,11.23,90.2,0.84,1.14,100.5,0.05,65,743,MHK,1.25,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:10:55,Mohonk,5.974,11.21,90,1.28,1.29,100.5,0.05,65,742.9,MHK,1.5,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:11:26,Mohonk,5.966,11.18,89.8,2.33,1.3,100.5,0.05,65,743,MHK,1.75,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:12:01,Mohonk,5.963,11.15,89.5,3.32,1.36,100.5,0.05,65,742.9,MHK,2,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:12:28,Mohonk,5.963,11.13,89.4,2.25,1.38,100.5,0.05,65,743,MHK,2.25,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:12:55,Mohonk,5.963,11.13,89.3,2.9,1.19,100.5,0.05,65,743,MHK,2.5,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:13:33,Mohonk,5.962,11.12,89.2,1.29,1.32,100.6,0.05,65,743,MHK,2.75,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:14:24,Mohonk,5.959,11.09,89,1.5,1.33,100.5,0.05,65,743,MHK,3,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:15:03,Mohonk,5.96,11.08,89,1.41,1.28,100.6,0.05,65,743,MHK,3.25,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:15:29,Mohonk,5.958,11.08,88.9,5.65,1.24,100.5,0.05,65,743.1,MHK,3.5,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:15:56,Mohonk,5.952,11.07,88.8,1.09,1.29,100.5,0.05,65,743.1,MHK,3.75,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:16:29,Mohonk,5.955,11.07,88.8,2.4,1.19,100.4,0.05,65,743.1,MHK,4,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:16:55,Mohonk,5.952,11.06,88.8,2.12,1.23,100.4,0.05,65,742.9,MHK,4.25,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:17:24,Mohonk,5.945,11.05,88.7,1.58,1.27,100.5,0.05,65,743.1,MHK,4.5,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:17:51,Mohonk,5.94,11.03,88.5,2.73,1.26,100.5,0.05,65,743,MHK,4.75,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:18:25,Mohonk,5.94,11.01,88.3,1.63,1.2,100.5,0.05,65,743,MHK,5,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:19:04,Mohonk,5.94,10.99,88.2,0.74,1.13,100.5,0.05,65,743,MHK,5.25,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:19:31,Mohonk,5.935,10.98,88.1,4.14,1.35,100.6,0.05,65,743,MHK,5.5,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:19:57,Mohonk,5.925,10.94,87.7,1.11,1.12,100.6,0.05,65,743.1,MHK,5.75,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:20:23,Mohonk,5.923,10.92,87.6,5.58,1.37,100.5,0.05,65,743,MHK,6,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:21:06,Mohonk,5.905,10.89,87.3,1.31,1.06,100.5,0.05,65,742.9,MHK,6.25,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:21:35,Mohonk,5.886,10.84,86.8,1.26,0.99,100.6,0.05,65,743,MHK,6.5,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:22:05,Mohonk,5.875,10.75,86.1,0.91,0.97,100.6,0.05,65,743,MHK,6.75,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:22:36,Mohonk,5.872,10.69,85.6,1.65,1.2,100.7,0.05,65,743,MHK,7,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:23:39,Mohonk,5.849,10.66,85.3,2.69,1.06,100.6,0.05,65,743,MHK,7.25,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:24:07,Mohonk,5.824,10.63,85.1,3,0.98,100.7,0.05,65,743,MHK,7.5,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:24:59,Mohonk,5.759,10.56,84.3,1.16,0.95,100.7,0.05,65,743.1,MHK,7.75,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:25:31,Mohonk,5.715,10.46,83.5,4.45,1.04,100.8,0.05,65,743,MHK,8,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:26:10,Mohonk,5.664,10.39,82.8,0.7,0.98,100.8,0.05,66,742.9,MHK,8.25,NA,NA,NA,41.766,-74.158,379,2026-04-08
4/8/2026,09:27:23,Mohonk,5.62,10.28,81.8,0.62,0.76,100.8,0.05,66,743.1,MHK,8.5,NA,NA,NA,41.766,-74.158,379,2026-04-08
