Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m,date
6/12/2024,10:49:11,Mohonk,19.951,8.65,95.1,0.11,0.07,7.58,83.1,0.04,54,730,MHK,0,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,10:49:21,Mohonk,19.962,8.65,95.1,0.12,0.05,7.58,83,0.04,54,730,MHK,0.25,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,10:49:31,Mohonk,19.968,8.65,95.1,0.12,0.03,7.58,82.9,0.04,54,730.1,MHK,0.5,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,10:50:04,Mohonk,19.957,8.65,95,0.1,0.04,7.57,82.1,0.04,53,730,MHK,0.75,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,10:50:14,Mohonk,19.955,8.64,95,0.1,0.02,7.57,83.1,0.04,54,730,MHK,1,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,10:50:24,Mohonk,19.964,8.64,95,0.11,0.04,7.57,83,0.04,54,730,MHK,1.25,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,10:53:15,Mohonk,19.876,8.8,96.6,0.12,0,7.66,83.6,0.04,54,730,MHK,2,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,10:53:25,Mohonk,19.927,8.69,95.5,0.13,-0.01,7.63,83.6,0.04,54,730,MHK,2.25,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,10:53:35,Mohonk,19.95,8.65,95.1,0.12,0.01,7.6,83.6,0.04,54,730,MHK,2.5,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,10:53:45,Mohonk,19.842,8.62,94.6,0.18,1.21,7.57,1.5,0,1,730,MHK,2.75,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,10:53:55,Mohonk,19.464,8.66,94.3,0.24,3.09,7.4,1.1,0,1,730,MHK,3,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,11:12:17,Mohonk,13.902,11.65,112.8,0.25,0.12,7.6,84.4,0.04,55,730,MHK,8.5,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,11:12:24,Mohonk,13.734,11.71,113,0.24,0.14,7.61,84.1,0.04,55,730,MHK,8.75,NA,NA,NA,41.766,-74.158,379,2024-06-12
6/12/2024,11:12:30,Mohonk,13.429,11.8,113.2,0.26,0.16,7.62,83.8,0.04,54,730,MHK,9,NA,NA,NA,41.766,-74.158,379,2024-06-12
