lakeID,date_yyyy-mm-dd,time_hhmmss,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll _RFU,phycocyaninBGA_RFU-14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,2024-07-03,0:14:59,0,23.649,9.11,107.6,0.25,-0.35,NA,7.79,NA,91.1,0.04,59,NA,41.76786,-74.15557,382.1,734.7
MHK,2024-07-03,0:15:40,0.25,23.68,9.02,106.6,0.24,-0.36,NA,7.79,NA,91,0.04,59,NA,41.76787,-74.15557,381.3,734.7
MHK,2024-07-03,0:15:50,0.5,23.69,9,106.3,0.28,-0.34,NA,7.79,NA,91,0.04,59,NA,41.76794,-74.15562,378.4,734.6
MHK,2024-07-03,0:16:30,0.75,23.711,9,106.3,0.27,-0.36,NA,7.8,NA,91.2,0.04,59,NA,41.7679,-74.15556,379.8,734.5
MHK,2024-07-03,0:16:58,1,23.709,8.99,106.2,0.28,-0.37,NA,7.8,NA,91.2,0.04,59,NA,41.76791,-74.15554,381.2,734.6
MHK,2024-07-03,0:17:32,1.25,23.703,9,106.3,0.3,-0.34,NA,7.8,NA,91.2,0.04,59,NA,41.76789,-74.15555,382.1,734.6
MHK,2024-07-03,0:18:26,1.5,23.638,9.03,106.6,0.27,-0.39,NA,7.84,NA,91.2,0.04,59,NA,41.76789,-74.15552,386.2,734.6
MHK,2024-07-03,0:18:54,1.75,23.601,9.02,106.4,0.28,-0.38,NA,7.84,NA,91.1,0.04,59,NA,41.7679,-74.15551,385.5,734.6
MHK,2024-07-03,0:19:22,2,23.582,9.02,106.3,0.33,-0.34,NA,7.84,NA,91.2,0.04,59,NA,41.76793,-74.15551,379.8,734.6
MHK,2024-07-03,0:19:57,2.25,23.558,9.02,106.3,0.37,-0.37,NA,7.84,NA,91.2,0.04,59,NA,41.76788,-74.15555,383.3,734.6
MHK,2024-07-03,0:20:23,2.5,23.552,9.02,106.2,0.31,-0.36,NA,7.84,NA,91.2,0.04,59,NA,41.76786,-74.15556,382.4,734.6
MHK,2024-07-03,0:20:54,2.75,23.277,9.03,105.8,0.35,-0.32,NA,7.85,NA,91.4,0.04,59,NA,41.76791,-74.15558,379.3,734.5
MHK,2024-07-03,0:21:19,3,22.919,9.03,105.2,0.43,-0.3,NA,7.86,NA,91.2,0.04,59,NA,41.76792,-74.15556,378.7,734.6
MHK,2024-07-03,0:21:43,3.25,22.68,9.06,104.9,0.44,-0.31,NA,7.86,NA,91.1,0.04,59,NA,41.76791,-74.15557,376.3,734.6
MHK,2024-07-03,0:22:20,3.5,22.543,9.01,104.2,0.55,-0.24,NA,7.83,NA,91.1,0.04,59,NA,41.76789,-74.15557,378.9,734.6
MHK,2024-07-03,0:22:47,3.75,22.432,9,103.8,0.49,-0.25,NA,7.8,NA,91,0.04,59,NA,41.76789,-74.15558,376.1,734.5
MHK,2024-07-03,0:23:10,4,21.885,9.19,104.9,0.52,-0.23,NA,7.75,NA,91.2,0.04,59,NA,41.76787,-74.15557,377.5,734.6
MHK,2024-07-03,0:23:36,4.25,19.492,10.29,114.5,0.57,-0.2,NA,7.66,NA,92.9,0.04,60,NA,41.76797,-74.15555,366.9,734.5
