lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,10/30/2024,10:44:16,NA,12.319,9.85,92,0.17,-0.39,NA,NA,NA,91,0.04,59,NA,0,0,0,736.3
MHK,10/30/2024,10:44:53,NA,12.316,9.82,91.8,0.13,-0.4,NA,NA,NA,91,0.04,59,NA,0,0,0,736.3
MHK,10/30/2024,10:45:29,NA,12.313,9.81,91.7,0.12,-0.4,NA,NA,NA,91,0.04,59,NA,41.76787,-74.15572,400.6,736.2
MHK,10/30/2024,10:45:57,NA,12.312,9.8,91.6,0.11,-0.41,NA,NA,NA,91,0.04,59,NA,41.76786,-74.15554,400.9,736.3
MHK,10/30/2024,10:46:35,NA,12.31,9.79,91.5,0.13,-0.38,NA,NA,NA,90.9,0.04,59,NA,41.76789,-74.15553,401.5,736.2
MHK,10/30/2024,10:47:01,NA,12.304,9.77,91.3,0.08,-0.42,NA,NA,NA,91,0.04,59,NA,41.76783,-74.15557,403.1,736.3
MHK,10/30/2024,10:47:31,NA,12.306,9.76,91.2,0.12,-0.41,NA,NA,NA,91,0.04,59,NA,41.76785,-74.15559,396,736.2
MHK,10/30/2024,10:47:45,NA,12.307,9.76,91.2,0.1,-0.39,NA,NA,NA,91,0.04,59,NA,41.76787,-74.15559,388.6,736.2
MHK,10/30/2024,10:49:01,NA,12.319,9.77,91.3,0.16,-0.39,NA,NA,NA,91,0.04,59,NA,41.76795,-74.15553,373.3,736.2
MHK,10/30/2024,10:49:37,NA,12.322,9.76,91.3,0.13,-0.37,NA,NA,NA,91,0.04,59,NA,0,0,0,736.2
MHK,10/30/2024,10:50:04,NA,12.321,9.76,91.3,0.15,-0.39,NA,NA,NA,91,0.04,59,NA,0,0,0,736.2
MHK,10/30/2024,10:50:31,NA,12.322,9.76,91.2,0.12,-0.4,NA,NA,NA,91,0.04,59,NA,0,0,0,736.2
MHK,10/30/2024,10:51:19,NA,12.321,9.76,91.2,0.15,-0.37,NA,NA,NA,91,0.04,59,NA,41.7678,-74.15564,398.3,736.2
MHK,10/30/2024,10:51:44,NA,12.322,9.75,91.2,0.1,-0.42,NA,NA,NA,91,0.04,59,NA,41.7678,-74.15565,402.3,736.1
MHK,10/30/2024,10:52:33,NA,12.32,9.75,91.2,0.12,-0.39,NA,NA,NA,91,0.04,59,NA,41.76781,-74.15563,398.1,736.2
MHK,10/30/2024,10:52:58,NA,12.321,9.75,91.2,0.14,-0.39,NA,NA,NA,91.1,0.04,59,NA,41.7678,-74.15565,400.2,736.1
MHK,10/30/2024,10:53:23,NA,12.322,9.75,91.1,0.1,-0.38,NA,NA,NA,91,0.04,59,NA,0,0,0,736.2
MHK,10/30/2024,10:53:56,NA,12.321,9.75,91.1,0.12,-0.4,NA,NA,NA,91,0.04,59,NA,0,0,0,736.2
MHK,10/30/2024,10:54:19,NA,12.32,9.75,91.1,0.16,-0.36,NA,NA,NA,91.1,0.04,59,NA,0,0,0,736.2
MHK,10/30/2024,10:54:49,NA,12.305,9.74,91,0.1,-0.33,NA,NA,NA,91.1,0.04,59,NA,0,0,0,736.1
MHK,10/30/2024,10:55:13,NA,12.306,9.73,90.9,0.11,-0.37,NA,NA,NA,91.1,0.04,59,NA,0,0,0,736.1
MHK,10/30/2024,10:55:37,NA,12.306,9.73,90.9,0.14,-0.31,NA,NA,NA,91.1,0.04,59,NA,41.76795,-74.15547,375.1,736.2
MHK,10/30/2024,10:56:18,NA,12.302,9.72,90.9,0.15,-0.36,NA,NA,NA,91.1,0.04,59,NA,41.76793,-74.15554,376.8,736.2
MHK,10/30/2024,10:56:44,NA,12.3,9.72,90.8,0.12,-0.38,NA,NA,NA,91.1,0.04,59,NA,41.76791,-74.15552,381.8,736.2
MHK,10/30/2024,10:57:12,NA,12.289,9.71,90.7,0.11,-0.37,NA,NA,NA,91.1,0.04,59,NA,41.7679,-74.15553,383.1,736.2
MHK,10/30/2024,10:57:43,NA,12.262,9.7,90.6,0.1,-0.4,NA,NA,NA,91.1,0.04,59,NA,41.76789,-74.15553,384.9,736.1
MHK,10/30/2024,10:58:27,NA,12.252,9.7,90.5,0.15,-0.39,NA,NA,NA,91.2,0.04,59,NA,41.76789,-74.15554,384.5,736.1
MHK,10/30/2024,10:58:48,NA,12.247,9.7,90.5,0.13,-0.39,NA,NA,NA,91.1,0.04,59,NA,41.76788,-74.15554,384.8,736.2
MHK,10/30/2024,10:59:15,NA,12.246,9.7,90.5,0.12,-0.4,NA,NA,NA,91.1,0.04,59,NA,41.76788,-74.15554,384.2,736.2
MHK,10/30/2024,10:59:37,NA,12.243,9.7,90.6,0.17,-0.34,NA,NA,NA,91.1,0.04,59,NA,41.7679,-74.15553,382.8,736.1
MHK,10/30/2024,11:00:11,NA,12.238,9.71,90.6,0.15,-0.39,NA,NA,NA,91.1,0.04,59,NA,41.76791,-74.15552,378.1,736.1
MHK,10/30/2024,11:00:34,NA,12.234,9.71,90.6,0.17,-0.38,NA,NA,NA,91.1,0.04,59,NA,41.76788,-74.15554,385.9,736.1
MHK,10/30/2024,11:01:06,NA,12.232,9.7,90.5,0.11,-0.38,NA,NA,NA,91.1,0.04,59,NA,41.76789,-74.15552,383.8,736.2
MHK,10/30/2024,11:01:34,NA,11.913,9.52,88.2,0.13,-0.37,NA,NA,NA,91.7,0.04,60,NA,41.7679,-74.15549,384.3,736
MHK,10/30/2024,11:02:05,NA,10.652,6.01,54.1,0.14,-0.37,NA,NA,NA,93.6,0.04,61,NA,41.76788,-74.1555,385,736.1
