lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,3/4/2025,11:42:43,NA,0.087,13.6,93.2,0.29,0.09,NA,NA,NA,89.6,0.04,58,NA,41.76784,-74.15558,378.1,730.8
MHK,3/4/2025,11:43:32,NA,0.061,13.55,92.8,0.38,0.06,NA,NA,NA,89.4,0.04,58,NA,41.76786,-74.15557,377.8,730.9
MHK,3/4/2025,11:44:39,NA,0.248,13.17,90.7,0.95,0.33,NA,NA,NA,98.2,0.05,64,NA,41.76788,-74.15555,375.6,730.9
MHK,3/4/2025,11:45:36,NA,0.483,12.55,87.1,0.07,0.1,NA,NA,NA,103.6,0.05,67,NA,41.76786,-74.15556,379.7,730.9
MHK,3/4/2025,11:46:21,NA,0.7,12.15,84.8,1.3,0.44,NA,NA,NA,103.5,0.05,67,NA,41.76785,-74.15558,384.3,730.9
MHK,3/4/2025,11:47:10,NA,1.479,12.26,87.3,0.82,0.17,NA,NA,NA,101.9,0.05,66,NA,41.76787,-74.15557,386.9,730.8
MHK,3/4/2025,11:47:35,NA,2.466,12.17,89.1,2.07,0.24,NA,NA,NA,99.7,0.05,65,NA,41.76796,-74.15551,385.3,730.7
MHK,3/4/2025,11:48:10,NA,2.715,12.17,89.7,0.9,0.24,NA,NA,NA,99.2,0.05,65,NA,41.76793,-74.15551,370.1,730.9
MHK,3/4/2025,11:48:36,NA,2.734,12.19,90,1.06,0.23,NA,NA,NA,99.6,0.05,65,NA,41.76787,-74.15554,372.3,730.7
MHK,3/4/2025,11:49:07,NA,2.747,12.2,90.1,1.11,0.15,NA,NA,NA,99.7,0.05,65,NA,41.76782,-74.15558,371.5,730.9
MHK,3/4/2025,11:49:27,NA,2.75,12.21,90.1,1.29,0.15,NA,NA,NA,99.7,0.05,65,NA,41.76788,-74.15553,369,730.9
MHK,3/4/2025,11:49:54,NA,2.751,12.2,90.1,1.31,0.17,NA,NA,NA,99.8,0.05,65,NA,41.76789,-74.15549,365.2,730.9
MHK,3/4/2025,11:50:16,NA,2.752,12.2,90.1,0.68,0.18,NA,NA,NA,99.8,0.05,65,NA,41.76796,-74.15549,366.6,730.9
MHK,3/4/2025,11:50:39,NA,2.753,12.2,90.1,1.05,0.1,NA,NA,NA,99.8,0.05,65,NA,41.76805,-74.15546,376.1,730.9
MHK,3/4/2025,11:51:06,NA,2.754,12.19,89.9,0.97,0.12,NA,NA,NA,99.9,0.05,65,NA,41.76807,-74.15545,379.3,730.9
MHK,3/4/2025,11:51:31,NA,2.749,12.16,89.8,1.31,0.14,NA,NA,NA,100.1,0.05,65,NA,41.76799,-74.15553,373.2,730.9
MHK,3/4/2025,11:51:53,NA,2.75,12.15,89.7,0.87,0.09,NA,NA,NA,100.2,0.05,65,NA,41.76789,-74.15556,368.3,730.9
MHK,3/4/2025,11:52:16,NA,2.754,12.13,89.6,0.85,0.08,NA,NA,NA,100.1,0.05,65,NA,41.76786,-74.15556,373.5,730.9
MHK,3/4/2025,11:52:46,NA,2.757,12.12,89.5,0.75,0.07,NA,NA,NA,100,0.05,65,NA,41.76786,-74.15555,376.8,730.9
MHK,3/4/2025,11:53:11,NA,2.759,12.12,89.5,1.29,0.12,NA,NA,NA,100,0.05,65,NA,41.76784,-74.15553,381.9,730.9
MHK,3/4/2025,11:53:38,NA,2.765,12.14,89.6,1.58,0.29,NA,NA,NA,99.8,0.05,65,NA,41.76785,-74.15556,380.5,731
MHK,3/4/2025,11:54:24,NA,2.772,12.15,89.7,0.66,0.08,NA,NA,NA,99.3,0.05,65,NA,41.76784,-74.15556,379.3,730.9
MHK,3/4/2025,11:54:45,NA,2.776,12.17,89.9,0.97,0.16,NA,NA,NA,99.2,0.05,65,NA,41.76785,-74.15558,379.1,730.9
