lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,4/22/2025,09:55:32,NA,9.581,11.23,98.5,0.67,-0.86,NA,NA,NA,95,0.04,62,NA,41.76787,-74.15556,375.4,727.3
MHK,4/22/2025,09:56:31,NA,9.496,11.77,103,0.83,-0.69,NA,NA,NA,93.9,0.04,61,NA,41.76785,-74.15559,385,727.2
MHK,4/22/2025,09:56:56,NA,9.501,11.82,103.6,0.61,-0.69,NA,NA,NA,93.6,0.04,61,NA,41.76784,-74.1556,397.7,727.3
MHK,4/22/2025,09:57:24,NA,9.491,11.86,103.8,0.65,-0.65,NA,NA,NA,93.6,0.04,61,NA,41.76786,-74.15556,398.1,727.3
MHK,4/22/2025,09:57:48,NA,9.495,11.88,104,0.85,-0.56,NA,NA,NA,93.6,0.04,61,NA,41.76787,-74.15556,393.8,727.2
MHK,4/22/2025,09:58:15,NA,9.497,11.89,104.1,0.8,-0.59,NA,NA,NA,93.6,0.04,61,NA,41.7679,-74.15553,384,727.2
MHK,4/22/2025,09:58:38,NA,9.497,11.88,104,0.67,-0.58,NA,NA,NA,93.6,0.04,61,NA,41.76793,-74.15556,377.7,727.1
MHK,4/22/2025,09:59:13,NA,9.494,11.88,104,0.7,-0.57,NA,NA,NA,93.7,0.04,61,NA,41.76789,-74.15556,373.8,727.1
MHK,4/22/2025,09:59:41,NA,9.487,11.88,104,0.58,-0.6,NA,NA,NA,93.7,0.04,61,NA,41.76786,-74.15556,381.3,727.1
MHK,4/22/2025,10:00:07,NA,9.429,11.87,103.8,0.76,-0.59,NA,NA,NA,93.8,0.04,61,NA,41.76785,-74.15557,379.4,727.1
MHK,4/22/2025,10:00:37,NA,9.399,11.87,103.7,0.73,-0.49,NA,NA,NA,93.8,0.04,61,NA,41.76781,-74.15551,379.6,727.1
MHK,4/22/2025,10:01:05,NA,9.376,11.85,103.5,0.98,-0.51,NA,NA,NA,93.8,0.04,61,NA,41.76782,-74.15549,383.2,727.1
MHK,4/22/2025,10:01:44,NA,9.336,11.84,103.3,0.62,-0.56,NA,NA,NA,93.8,0.04,61,NA,41.76785,-74.15553,379.6,727
MHK,4/22/2025,10:02:10,NA,9.296,11.84,103.2,0.74,-0.56,NA,NA,NA,93.8,0.04,61,NA,41.76783,-74.15554,382.3,727.2
MHK,4/22/2025,10:02:41,NA,9.249,11.85,103.2,0.67,-0.59,NA,NA,NA,93.8,0.04,61,NA,41.76785,-74.15553,378.5,727.2
MHK,4/22/2025,10:03:34,NA,9.2,11.85,103,0.99,-0.53,NA,NA,NA,93.8,0.04,61,NA,41.76787,-74.15554,387.4,727
