TIME,DATE,FILE NAME,SITE NAME,FAULT CODE,PHYCOCYANIN (RFU)-14C102008,BAROMETER (MMHG)-24C102759,CHLOROPHYLL (RFU)-14C102008,COND (µS/CM)-15F102368,SP COND (µS/CM)-15F102368,TDS (MG/L)-15F102368,SAL (PSU)-15F102368,NLFCOND (µS/CM)-15F102368,DO (% SAT)-13C101369,DO (MG/L)-13C101369,DO (% CB)-13C101369,GPS LATITUDE (°)-24C102759,GPS LONGITUDE (°)-24C102759,ALTITUDE (M)-24C102759,CABLE POWER (VOLT)-24C102759,BATTERY POWER (VOLT)-24C102759,TEMP (°C)-15F102368
1:36:49 PM,12/3/2025,251203-133647-Mohonk.bin,Mohonk,0,1.73,728.1,0.67,60.8,99.6,65,0.05,101,70.7,9.12,72.1,41.76794,-74.15558,379.7,11.9,2.86,4.615
1:36:23 PM,12/3/2025,251203-133621-Mohonk.bin,Mohonk,0,2.71,728.1,0.85,60.8,99.6,65,0.05,101,71.8,9.26,73.3,41.76789,-74.15559,378.1,11.9,2.86,4.617
1:35:46 PM,12/3/2025,251203-133544-Mohonk.bin,Mohonk,0,1.64,728,0.59,60.7,99.3,65,0.05,100.7,72.8,9.39,74.2,41.76792,-74.1556,375.8,11.9,2.86,4.614
1:35:13 PM,12/3/2025,251203-133512-Mohonk.bin,Mohonk,0,0.76,728.2,0.21,60.6,99.2,64,0.05,100.6,73.1,9.43,74.6,41.76793,-74.15562,369.5,11.9,2.86,4.613
1:34:47 PM,12/3/2025,251203-133446-Mohonk.bin,Mohonk,0,0.81,728.2,0.2,60.6,99.2,64,0.05,100.6,73.2,9.44,74.6,41.76793,-74.15562,373.5,11.9,2.86,4.613
1:34:22 PM,12/3/2025,251203-133420-Mohonk.bin,Mohonk,0,0.77,728.1,0.18,60.6,99.2,64,0.05,100.6,73.2,9.44,74.7,41.76791,-74.1556,377.1,11.9,2.86,4.617
1:33:42 PM,12/3/2025,251203-133341-Mohonk.bin,Mohonk,0,0.82,728.2,0.17,60.5,99.1,64,0.05,100.5,73.3,9.45,74.7,41.76791,-74.1556,375.3,11.9,2.86,4.621
1:33:08 PM,12/3/2025,251203-133306-Mohonk.bin,Mohonk,0,0.8,728.2,0.17,60.5,99.1,64,0.05,100.5,73.3,9.45,74.8,41.76799,-74.15578,368,11.9,2.86,4.619
1:32:35 PM,12/3/2025,251203-133233-Mohonk.bin,Mohonk,0,0.8,728.2,0.18,60.5,99.1,64,0.05,100.5,73.4,9.46,74.8,0,0,0,11.9,2.86,4.614
1:32:05 PM,12/3/2025,251203-133203-Mohonk.bin,Mohonk,0,0.75,728.2,0.17,60.5,99.1,64,0.05,100.5,73.4,9.46,74.8,41.76791,-74.15556,369.2,11.9,2.86,4.615
