TIME,DATE,FILE NAME,SITE NAME,FAULT CODE,PHYCOCYANIN (RFU)-14C102008,BAROMETER (MMHG)-24C102759,CHLOROPHYLL (RFU)-14C102008,COND (µS/CM)-15F102368,SP COND (µS/CM)-15F102368,TDS (MG/L)-15F102368,SAL (PSU)-15F102368,NLFCOND (µS/CM)-15F102368,DO (% SAT)-13C101369,DO (MG/L)-13C101369,DO (% CB)-13C101369,GPS LATITUDE (°)-24C102759,GPS LONGITUDE (°)-24C102759,ALTITUDE (M)-24C102759,CABLE POWER (VOLT)-24C102759,BATTERY POWER (VOLT)-24C102759,TEMP (°C)-15F102368,
12:28:22 PM,5/11/2026,260511-122819-Mohonk.bin,Mohonk,0,3.11,730.4,3.63,65.4,105.2,68,0.05,106.8,47.2,5.99,48.1,41.76789,-74.15555,384.5,11.9,2.75,5.189,
12:27:48 PM,5/11/2026,260511-122746-Mohonk.bin,Mohonk,0,1.57,730.3,2.99,64.9,104.4,68,0.05,105.9,49.3,6.26,50.2,41.76788,-74.15553,381.0,11.9,2.75,5.192,
12:26:59 PM,5/11/2026,260511-122657-Mohonk.bin,Mohonk,0,1.60,730.5,3.98,64.7,104.1,68,0.05,105.6,51.0,6.47,52.0,41.76789,-74.15557,375.9,11.9,2.75,5.197,
12:26:34 PM,5/11/2026,260511-122631-Mohonk.bin,Mohonk,0,1.54,730.4,2.75,64.6,103.8,67,0.05,105.3,52.6,6.68,53.7,41.76792,-74.15561,367.6,11.9,2.75,5.213,
12:26:03 PM,5/11/2026,260511-122601-Mohonk.bin,Mohonk,0,1.50,730.4,2.24,64.3,103.4,67,0.05,104.9,54.5,6.91,55.6,41.76787,-74.15563,358.4,11.9,2.75,5.227,
12:25:34 PM,5/11/2026,260511-122532-Mohonk.bin,Mohonk,0,1.62,730.3,2.27,64.6,103.6,67,0.05,105.2,56.0,7.09,57.1,41.76786,-74.15569,350.3,11.9,2.75,5.296,
12:25:10 PM,5/11/2026,260511-122508-Mohonk.bin,Mohonk,0,1.36,730.4,1.44,64.8,103.7,67,0.05,105.3,58.5,7.40,59.7,41.76781,-74.15562,354.9,11.9,2.75,5.347,
12:24:47 PM,5/11/2026,260511-122445-Mohonk.bin,Mohonk,0,1.78,730.4,4.37,64.5,103.0,67,0.05,104.5,61.9,7.82,63.2,41.76780,-74.15557,373.4,11.9,2.75,5.452,
12:24:24 PM,5/11/2026,260511-122422-Mohonk.bin,Mohonk,0,1.81,730.3,2.77,64.0,102.0,66,0.05,103.6,65.0,8.19,66.3,41.76793,-74.15559,375.8,11.9,2.75,5.491,
12:23:59 PM,5/11/2026,260511-122357-Mohonk.bin,Mohonk,0,1.69,730.4,4.29,64.0,101.9,66,0.05,103.5,67.2,8.47,68.6,41.76797,-74.15563,369.3,11.9,2.75,5.535,
12:23:35 PM,5/11/2026,260511-122333-Mohonk.bin,Mohonk,0,1.53,730.4,3.03,64.0,101.7,66,0.05,103.2,69.4,8.72,70.8,41.76801,-74.15565,365.0,11.9,2.75,5.595,
12:23:07 PM,5/11/2026,260511-122305-Mohonk.bin,Mohonk,0,1.45,730.4,3.81,64.1,101.5,66,0.05,103.1,71.9,9.02,73.3,41.76797,-74.15560,365.6,11.9,2.75,5.683,
12:22:42 PM,5/11/2026,260511-122240-Mohonk.bin,Mohonk,0,1.29,730.4,2.41,64.1,101.4,66,0.05,102.9,74.6,9.34,76.1,41.76798,-74.15563,369.4,11.9,2.75,5.758,
12:22:18 PM,5/11/2026,260511-122216-Mohonk.bin,Mohonk,0,1.14,730.5,2.14,64.3,101.2,66,0.05,102.8,77.8,9.71,79.3,41.76795,-74.15556,374.5,11.9,2.75,5.881,
12:21:47 PM,5/11/2026,260511-122145-Mohonk.bin,Mohonk,0,1.13,730.4,1.41,64.7,101.4,66,0.05,103.0,82.4,10.24,84.1,41.76792,-74.15559,371.5,11.9,2.75,6.085,
12:21:19 PM,5/11/2026,260511-122116-Mohonk.bin,Mohonk,0,1.04,730.5,3.05,65.0,101.3,66,0.05,102.9,85.9,10.62,87.6,41.76789,-74.15557,374.6,11.9,2.75,6.232,
12:20:56 PM,5/11/2026,260511-122054-Mohonk.bin,Mohonk,0,1.04,730.4,1.20,65.4,101.7,66,0.05,103.3,89.6,11.05,91.4,41.76790,-74.15559,372.5,11.9,2.75,6.327,
12:20:32 PM,5/11/2026,260511-122030-Mohonk.bin,Mohonk,0,1.09,730.4,2.89,65.8,101.3,66,0.05,103.0,94.6,11.58,96.5,41.76788,-74.15556,377.9,11.9,2.75,6.628,
12:20:07 PM,5/11/2026,260511-122005-Mohonk.bin,Mohonk,0,1.03,730.4,3.15,66.6,101.8,66,0.05,103.5,97.9,11.92,99.9,41.76789,-74.15558,375.4,11.9,2.75,6.899,
12:19:43 PM,5/11/2026,260511-121941-Mohonk.bin,Mohonk,0,1.01,730.4,2.34,66.9,101.5,66,0.05,103.2,100.7,12.16,102.7,41.76788,-74.15556,378.4,11.9,2.75,7.169,
12:19:20 PM,5/11/2026,260511-121918-Mohonk.bin,Mohonk,0,0.91,730.4,2.23,67.8,101.6,66,0.05,103.3,104.0,12.44,106.0,41.76789,-74.15558,371.8,11.9,2.75,7.577,
12:18:55 PM,5/11/2026,260511-121853-Mohonk.bin,Mohonk,0,0.83,730.5,2.02,68.3,101.2,66,0.05,102.9,106.2,12.57,108.3,41.76788,-74.15559,371.2,11.9,2.75,7.989,
12:18:14 PM,5/11/2026,260511-121811-Mohonk.bin,Mohonk,0,0.73,730.5,1.77,68.5,100.5,65,0.05,102.3,108.8,12.79,111.0,41.76786,-74.15557,373.0,11.9,2.75,8.307,
12:17:48 PM,5/11/2026,260511-121746-Mohonk.bin,Mohonk,0,0.64,730.5,1.57,69.1,100.4,65,0.05,102.1,110.0,12.81,112.2,41.76789,-74.15557,373.1,11.9,2.75,8.659,
12:17:24 PM,5/11/2026,260511-121722-Mohonk.bin,Mohonk,0,0.50,730.6,1.17,69.7,100.5,65,0.05,102.3,109.9,12.72,112.1,41.76791,-74.15560,370.4,11.9,2.75,8.935,
12:17:01 PM,5/11/2026,260511-121659-Mohonk.bin,Mohonk,0,0.44,730.5,0.88,70.5,100.5,65,0.05,102.3,109.6,12.55,111.8,41.76795,-74.15562,371.2,11.9,2.75,9.361,
12:16:36 PM,5/11/2026,260511-121633-Mohonk.bin,Mohonk,0,0.39,730.6,0.80,71.5,101.0,66,0.05,102.8,106.8,12.13,108.9,41.76791,-74.15563,373.4,11.9,2.75,9.714,
12:16:09 PM,5/11/2026,260511-121606-Mohonk.bin,Mohonk,0,0.31,730.5,0.64,74.5,102.1,66,0.05,103.9,103.2,11.41,105.3,41.76803,-74.15562,372.5,11.9,2.75,10.845,
12:15:44 PM,5/11/2026,260511-121542-Mohonk.bin,Mohonk,0,0.28,730.5,0.49,76.1,101.0,66,0.05,102.7,98.0,10.53,99.9,41.76787,-74.15556,371.8,11.9,2.75,12.090,
12:15:20 PM,5/11/2026,260511-121518-Mohonk.bin,Mohonk,0,0.29,730.5,0.43,76.6,99.2,64,0.05,100.8,97.6,10.26,99.5,41.76786,-74.15562,367.3,12.0,2.75,13.085,
12:14:53 PM,5/11/2026,260511-121451-Mohonk.bin,Mohonk,0,0.21,730.5,0.34,76.6,99.1,64,0.05,100.7,97.6,10.25,99.5,41.76796,-74.15568,365.4,11.9,2.75,13.125,
12:14:27 PM,5/11/2026,260511-121425-Mohonk.bin,Mohonk,0,0.24,730.5,0.42,76.7,99.1,64,0.05,100.8,97.5,10.23,99.4,41.76797,-74.15562,368.6,11.9,2.75,13.159,
12:14:02 PM,5/11/2026,260511-121400-Mohonk.bin,Mohonk,0,0.29,730.6,0.62,76.7,99.0,64,0.05,100.7,97.7,10.24,99.7,41.76792,-74.15561,369.5,11.9,2.75,13.219,
12:13:36 PM,5/11/2026,260511-121334-Mohonk.bin,Mohonk,0,0.23,730.4,0.44,76.8,99.0,64,0.05,100.6,97.9,10.25,99.9,41.76791,-74.15560,375.2,11.9,2.75,13.265,
12:13:13 PM,5/11/2026,260511-121310-Mohonk.bin,Mohonk,0,0.26,730.5,0.50,76.8,98.9,64,0.05,100.6,97.9,10.25,99.9,41.76787,-74.15564,365.9,11.9,2.75,13.292,
12:12:48 PM,5/11/2026,260511-121246-Mohonk.bin,Mohonk,0,0.19,730.5,0.46,76.8,98.9,64,0.05,100.6,97.9,10.25,99.9,41.76789,-74.15569,359.5,11.9,2.75,13.300,
12:12:21 PM,5/11/2026,260511-121218-Mohonk.bin,Mohonk,0,0.23,730.4,0.51,76.9,98.9,64,0.05,100.5,98.0,10.25,100.0,41.76791,-74.15568,353.7,11.9,2.75,13.349,
12:11:55 PM,5/11/2026,260511-121153-Mohonk.bin,Mohonk,0,0.22,730.6,0.43,76.9,98.8,64,0.05,100.4,98.1,10.25,100.0,41.76789,-74.15563,0.0,11.9,2.75,13.372,
12:10:59 PM,5/11/2026,260511-121056-Mohonk.bin,Mohonk,0,0.28,730.5,0.51,76.9,98.8,64,0.05,100.4,98.2,10.26,100.2,41.76790,-74.15569,380.3,11.9,2.75,13.379,
12:10:25 PM,5/11/2026,260511-121023-Mohonk.bin,Mohonk,0,0.25,730.5,0.57,76.9,98.8,64,0.05,100.4,98.4,10.27,100.4,41.76788,-74.15558,379.4,11.9,2.75,13.403,
12:10:02 PM,5/11/2026,260511-121000-Mohonk.bin,Mohonk,0,0.30,730.6,0.48,77.0,98.8,64,0.05,100.4,98.4,10.27,100.4,41.76793,-74.15554,377.7,11.9,2.75,13.444,
12:09:37 PM,5/11/2026,260511-120935-Mohonk.bin,Mohonk,0,0.23,730.5,0.56,77.1,98.7,64,0.05,100.3,98.4,10.24,100.4,41.76796,-74.15559,376.8,11.9,2.75,13.523,
12:09:14 PM,5/11/2026,260511-120912-Mohonk.bin,Mohonk,0,0.23,730.6,0.47,77.2,98.7,64,0.05,100.3,98.5,10.25,100.5,41.76789,-74.15550,378.0,11.9,2.75,13.569,
12:08:38 PM,5/11/2026,260511-120836-Mohonk.bin,Mohonk,0,0.19,730.5,0.44,77.2,98.7,64,0.05,100.3,98.7,10.26,100.7,41.76789,-74.15556,378.5,11.9,2.75,13.609,
12:08:14 PM,5/11/2026,260511-120812-Mohonk.bin,Mohonk,0,0.17,730.5,0.39,77.4,98.7,64,0.05,100.4,98.9,10.27,100.9,41.76787,-74.15553,378.7,11.9,2.75,13.658,
12:07:47 PM,5/11/2026,260511-120745-Mohonk.bin,Mohonk,0,0.10,730.5,0.31,77.5,98.6,64,0.05,100.2,99.2,10.27,101.2,0.00000,0.00000,0.0,12.0,2.75,13.770,
12:07:18 PM,5/11/2026,260511-120715-Mohonk.bin,Mohonk,0,0.09,730.4,0.28,77.5,98.6,64,0.05,100.2,99.2,10.26,101.2,0.00000,0.00000,0.0,11.9,2.74,13.814,
