Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
3/18/2026,09:12:04,Mohonk,1.857,12.18,87.7,0.18,0.74,77.9,0.04,51,737.3,MHK,0,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:12:37,Mohonk,2.14,11.69,84.9,0.13,0.75,80.4,0.04,52,737.2,MHK,0.25,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:13:11,Mohonk,2.964,11.35,84.2,0.14,0.79,78.1,0.04,51,737.2,MHK,0.5,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:14:03,Mohonk,3.106,11.05,82.3,0.29,0.81,80.3,0.04,52,737.2,MHK,0.75,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:14:53,Mohonk,3.065,10.71,79.7,0.57,0.94,92.6,0.04,60,737.3,MHK,1,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:15:21,Mohonk,3.083,10.57,78.7,0.95,1.05,97.6,0.05,63,737.2,MHK,1.25,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:15:47,Mohonk,3.104,10.46,77.9,0.97,1.08,101.2,0.05,66,737.2,MHK,1.5,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:16:21,Mohonk,3.114,10.34,77.1,0.83,1.02,101.6,0.05,66,737.2,MHK,1.75,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:16:52,Mohonk,3.121,10.27,76.6,0.97,1.14,101.7,0.05,66,737.2,MHK,2,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:17:28,Mohonk,3.127,10.2,76.1,0.25,1.07,101.6,0.05,66,737.3,MHK,2.25,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:17:55,Mohonk,3.131,10.16,75.8,0.63,1.16,101.5,0.05,66,737.2,MHK,2.5,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:18:32,Mohonk,3.133,10.12,75.5,0.65,0.89,101.4,0.05,66,737.1,MHK,2.75,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:19:03,Mohonk,3.139,10.09,75.3,0.86,0.89,101.3,0.05,66,737.2,MHK,3,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:19:31,Mohonk,3.143,10.06,75.1,0.97,0.94,101.2,0.05,66,737.2,MHK,3.25,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:20:10,Mohonk,3.147,10.02,74.8,0.6,1.03,101.2,0.05,66,737.2,MHK,3.5,NA,NA,NA,41.766,-74.158,379
3/18/2026,09:20:39,Mohonk,3.151,10,74.6,0.88,0.9,101.1,0.05,66,737.2,MHK,3.75,NA,NA,NA,41.766,-74.158,379
