Date,Time,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
10/30/2024,10:44:16,12.319,9.85,92,0.17,-0.39,NA,91,0.04,59,736.3,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:44:53,12.316,9.82,91.8,0.13,-0.4,NA,91,0.04,59,736.3,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:45:29,12.313,9.81,91.7,0.12,-0.4,NA,91,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:45:57,12.312,9.8,91.6,0.11,-0.41,NA,91,0.04,59,736.3,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:46:35,12.31,9.79,91.5,0.13,-0.38,NA,90.9,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:47:01,12.304,9.77,91.3,0.08,-0.42,NA,91,0.04,59,736.3,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:47:31,12.306,9.76,91.2,0.12,-0.41,NA,91,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:47:45,12.307,9.76,91.2,0.1,-0.39,NA,91,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:49:01,12.319,9.77,91.3,0.16,-0.39,NA,91,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:49:37,12.322,9.76,91.3,0.13,-0.37,NA,91,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:50:04,12.321,9.76,91.3,0.15,-0.39,NA,91,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:50:31,12.322,9.76,91.2,0.12,-0.4,NA,91,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:51:19,12.321,9.76,91.2,0.15,-0.37,NA,91,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:51:44,12.322,9.75,91.2,0.1,-0.42,NA,91,0.04,59,736.1,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:52:33,12.32,9.75,91.2,0.12,-0.39,NA,91,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:52:58,12.321,9.75,91.2,0.14,-0.39,NA,91.1,0.04,59,736.1,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:53:23,12.322,9.75,91.1,0.1,-0.38,NA,91,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:53:56,12.321,9.75,91.1,0.12,-0.4,NA,91,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:54:19,12.32,9.75,91.1,0.16,-0.36,NA,91.1,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:54:49,12.305,9.74,91,0.1,-0.33,NA,91.1,0.04,59,736.1,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:55:13,12.306,9.73,90.9,0.11,-0.37,NA,91.1,0.04,59,736.1,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:55:37,12.306,9.73,90.9,0.14,-0.31,NA,91.1,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:56:18,12.302,9.72,90.9,0.15,-0.36,NA,91.1,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:56:44,12.3,9.72,90.8,0.12,-0.38,NA,91.1,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:57:12,12.289,9.71,90.7,0.11,-0.37,NA,91.1,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:57:43,12.262,9.7,90.6,0.1,-0.4,NA,91.1,0.04,59,736.1,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:58:27,12.252,9.7,90.5,0.15,-0.39,NA,91.2,0.04,59,736.1,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:58:48,12.247,9.7,90.5,0.13,-0.39,NA,91.1,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:59:15,12.246,9.7,90.5,0.12,-0.4,NA,91.1,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,10:59:37,12.243,9.7,90.6,0.17,-0.34,NA,91.1,0.04,59,736.1,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:00:11,12.238,9.71,90.6,0.15,-0.39,NA,91.1,0.04,59,736.1,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:00:34,12.234,9.71,90.6,0.17,-0.38,NA,91.1,0.04,59,736.1,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:01:06,12.232,9.7,90.5,0.11,-0.38,NA,91.1,0.04,59,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:01:34,11.913,9.52,88.2,0.13,-0.37,NA,91.7,0.04,60,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:02:05,10.652,6.01,54.1,0.14,-0.37,NA,93.6,0.04,61,736.1,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:02:54,9.977,4.15,36.8,0.2,-0.32,NA,93.7,0.04,61,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:03:26,9.522,3.35,29.3,0.11,-0.32,NA,93.7,0.04,61,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:03:54,8.969,2.54,22,0.09,-0.31,NA,94,0.04,61,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:04:20,8.593,1.84,15.8,0.06,-0.34,NA,94,0.04,61,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:04:44,8.266,1.28,10.9,0.08,-0.29,NA,94.1,0.04,61,736.2,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:05:08,8.085,0.91,7.7,0.04,-0.31,NA,93.6,0.04,61,736.1,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:05:36,7.766,0.66,5.6,0.1,-0.23,NA,94.7,0.04,62,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:05:59,7.593,0.56,4.7,0.07,-0.25,NA,96.1,0.04,62,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:06:31,7.271,0.47,3.9,0.1,-0.19,NA,98.9,0.05,64,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:07:09,7.08,0.42,3.5,0.08,-0.17,NA,99.6,0.05,65,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:08:22,6.892,0.36,3,0.09,-0.14,NA,100.4,0.05,65,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:08:51,6.855,0.34,2.8,0.07,-0.16,NA,100.7,0.05,65,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:09:13,6.753,0.33,2.7,0.1,-0.12,NA,102.1,0.05,66,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:09:38,6.631,0.32,2.6,0.96,0.79,NA,104.3,0.05,68,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
10/30/2024,11:10:01,6.567,0.32,2.6,2.05,2.83,NA,107.1,0.05,70,736,MHK,NA,NA,NA,NA,41.766,−74.158,379
