Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
1/22/2025,10:40:42,Mohonk,3.256,10.08,75.4,0.51,0.01,NA,95.9,0.04,62,738.4,MHK,11.75,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:40:20,Mohonk,3.218,10.27,76.7,0.26,-0.03,NA,95.5,0.04,62,738.4,MHK,11.5,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:39:59,Mohonk,3.169,10.4,77.7,0.4,0.04,NA,95.4,0.04,62,738.4,MHK,11.25,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:39:39,Mohonk,3.13,10.52,78.4,0.31,-0.03,NA,95.2,0.04,62,738.5,MHK,11,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:39:19,Mohonk,3.088,10.65,79.4,0.44,0.07,NA,95.3,0.04,62,738.4,MHK,10.75,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:38:57,Mohonk,2.975,10.82,80.3,0.34,0.09,NA,95.1,0.04,62,738.5,MHK,10.5,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:38:37,Mohonk,2.833,10.93,80.9,1.04,0.49,NA,95.2,0.04,62,738.4,MHK,10.25,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:38:16,Mohonk,2.766,11.02,81.4,0.6,0.26,NA,95.2,0.04,62,738.5,MHK,10,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:37:55,Mohonk,2.707,11.14,82.1,0.42,0.42,NA,95.1,0.04,62,738.5,MHK,9.75,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:37:34,Mohonk,2.572,11.28,82.8,0.56,0.23,NA,95.2,0.04,62,738.4,MHK,9.5,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:37:12,Mohonk,2.486,11.41,83.6,0.66,0.21,NA,95.3,0.04,62,738.4,MHK,9.25,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:36:51,Mohonk,2.399,11.54,84.3,0.86,0.24,NA,95.3,0.04,62,738.4,MHK,9,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:36:30,Mohonk,2.334,11.72,85.5,0.62,0.25,NA,95.6,0.04,62,738.4,MHK,8.75,NA,NA,NA,41.766,-74.158,379
1/22/2025,10:36:10,Mohonk,2.207,11.92,86.7,0.86,0.45,NA,96.1,0.04,62,738.5,MHK,8.5,NA,NA,NA,41.766,-74.158,379
