Date,Time,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,pH,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
2/20/2025,10:17:58,0.145,13.8,94.8,0.61,0.11,NA,103.9,0.05,68,726.1,MHK,0,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:18:35,0.943,13.84,97.2,1.21,0.19,NA,98.9,0.05,64,726.1,MHK,0.25,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:19:05,1.518,13.65,97.4,1.11,0.18,NA,97.2,0.05,63,726.1,MHK,0.5,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:19:27,1.673,13.53,97,0.91,0.18,NA,96.8,0.04,63,726.1,MHK,0.75,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:19:49,1.937,13.41,96.8,1,0.26,NA,95.6,0.04,62,726.1,MHK,1,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:20:09,2.06,13.22,95.7,1.1,0.15,NA,95.1,0.04,62,726,MHK,1.25,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:20:31,2.139,13.05,94.7,0.74,0.04,NA,95.1,0.04,62,726.1,MHK,1.5,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:21:01,2.179,12.85,93.4,0.43,0.06,NA,95.2,0.04,62,726.1,MHK,1.75,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:21:21,2.192,12.76,92.7,0.34,0,NA,95.5,0.04,62,726,MHK,2,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:21:40,2.204,12.66,92.1,0.31,-0.01,NA,95.6,0.04,62,726.1,MHK,2.25,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:21:59,2.211,12.58,91.5,0.42,0.02,NA,95.7,0.04,62,726.1,MHK,2.5,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:22:23,2.216,12.51,91,0.23,-0.05,NA,95.9,0.04,62,726,MHK,2.75,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:22:43,2.22,12.47,90.7,0.23,0.08,NA,96.1,0.04,62,726.1,MHK,3,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:23:04,2.222,12.44,90.5,0.36,0.06,NA,96.3,0.04,63,726.1,MHK,3.25,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:23:30,2.225,12.42,90.4,0.23,-0.02,NA,96.5,0.04,63,726,MHK,3.5,NA,NA,NA,41.766,−74.158,379
2/20/2025,10:23:56,2.229,12.4,90.3,0.38,0.02,NA,96.6,0.04,63,726,MHK,3.75,NA,NA,NA,41.766,−74.158,379
