Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
9/3/2025,13:29:21,Mohonk,6.305,0.54,4.3,1.19,1.66,95.6,0.04,62,726.9,MHK,12.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:28:55,Mohonk,6.374,0.59,4.8,0.09,-0.55,90,0.04,58,727,MHK,12,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:28:29,Mohonk,6.455,0.69,5.6,0.06,-0.56,87.7,0.04,57,727,MHK,11.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:28:06,Mohonk,6.517,0.83,6.7,0.1,-0.56,87,0.04,57,727,MHK,11.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:27:42,Mohonk,6.648,1.1,8.9,0.06,-0.55,85.7,0.04,56,727,MHK,11.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:27:19,Mohonk,6.815,1.6,13.1,0.08,-0.57,85.7,0.04,56,727,MHK,11,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:26:45,Mohonk,7.136,3.02,25,0.14,-0.45,83.7,0.04,54,727,MHK,10.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:26:17,Mohonk,7.218,4.03,33.3,0.43,-0.4,83,0.04,54,727,MHK,10.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:25:40,Mohonk,7.399,5.08,42.3,0.29,-0.49,82.5,0.04,54,727.1,MHK,10.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:25:15,Mohonk,7.518,5.79,48.3,0.25,-0.43,82.3,0.04,53,727,MHK,10,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:24:44,Mohonk,7.747,6.58,55.3,0.19,-0.47,81.8,0.04,53,727,MHK,9.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:24:21,Mohonk,7.906,7.12,60,0.23,-0.07,81.7,0.04,53,727,MHK,9.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:24:00,Mohonk,8.034,7.51,63.4,0.23,-0.42,81.6,0.04,53,727.1,MHK,9.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:23:38,Mohonk,8.154,8.11,68.8,0.44,-0.48,81.4,0.04,53,727,MHK,9,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:23:14,Mohonk,8.428,8.64,73.8,0.31,-0.42,81.1,0.04,53,727,MHK,8.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:22:50,Mohonk,8.674,9.11,78.2,0.6,-0.3,81.2,0.04,53,727,MHK,8.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:22:29,Mohonk,9.041,9.48,82.1,0.47,-0.41,81.3,0.04,53,727,MHK,8.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:22:05,Mohonk,9.469,9.89,86.5,0.46,-0.46,80.9,0.04,53,727,MHK,8,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:21:42,Mohonk,9.738,10.34,91.1,0.4,-0.38,80.8,0.04,53,727,MHK,7.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:21:19,Mohonk,9.977,10.74,95.1,0.42,-0.51,80.6,0.04,52,727,MHK,7.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:20:55,Mohonk,10.363,11.03,98.6,0.44,-0.53,80.6,0.04,52,727,MHK,7.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:20:23,Mohonk,10.895,11.44,103.6,0.48,-0.53,80.5,0.04,52,727,MHK,7,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:19:54,Mohonk,11.409,11.77,107.8,0.4,-0.63,80.6,0.04,52,727,MHK,6.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:19:29,Mohonk,12.426,11.89,111.4,0.31,-0.68,80.6,0.04,52,727,MHK,6.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:19:05,Mohonk,13.423,11.79,113,0.31,-0.77,80.5,0.04,52,727,MHK,6.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:18:42,Mohonk,14.248,11.75,114.7,0.29,-0.8,80.7,0.04,52,727,MHK,6,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:18:15,Mohonk,15.395,11.94,119.4,0.27,-0.85,80.6,0.04,52,727.1,MHK,5.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:17:49,Mohonk,16.594,11.84,121.5,0.27,-0.89,80.1,0.04,52,727,MHK,5.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:17:20,Mohonk,18.652,10.11,108.2,0.28,-0.93,77.7,0.04,51,727,MHK,5.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:16:48,Mohonk,19.872,9.15,100.4,0.18,-0.95,75.6,0.03,49,727.1,MHK,5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:16:22,Mohonk,20.252,9.09,100.4,0.22,-0.97,75.5,0.03,49,727,MHK,4.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:15:48,Mohonk,20.322,9.12,101,0.18,-1.02,75.5,0.03,49,727.1,MHK,4.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:15:20,Mohonk,20.38,9.13,101.2,0.16,-1.02,75.5,0.03,49,727,MHK,4.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:14:51,Mohonk,20.411,9.11,101.1,0.18,-1.03,75.5,0.03,49,727,MHK,4,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:14:18,Mohonk,20.449,9.12,101.2,0.16,-1.1,75.6,0.03,49,727,MHK,3.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:13:50,Mohonk,20.475,9.11,101.1,0.16,-1.08,75.6,0.03,49,727,MHK,3.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:13:23,Mohonk,20.493,9.11,101.2,0.21,-1.04,75.6,0.03,49,727,MHK,3.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:12:57,Mohonk,20.736,9.12,101.8,0.14,-1.09,75.8,0.03,49,727.2,MHK,3,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:12:30,Mohonk,20.96,9.15,102.6,0.14,-1.1,75.8,0.03,49,727.1,MHK,2.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:12:03,Mohonk,21.216,9.18,103.4,0.11,-1.15,75.7,0.03,49,727.1,MHK,2.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:11:35,Mohonk,21.272,9.18,103.5,0.08,-1.15,75.7,0.03,49,727,MHK,2.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:10:55,Mohonk,21.282,9.18,103.5,0.09,-1.18,75.7,0.03,49,727,MHK,2,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:10:11,Mohonk,21.305,9.18,103.6,0.07,-1.16,75.7,0.03,49,727.1,MHK,1.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:09:39,Mohonk,21.313,9.19,103.7,0.08,-1.17,75.7,0.03,49,727.1,MHK,1.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:09:10,Mohonk,21.295,9.2,103.8,0.1,-1.12,75.7,0.03,49,727.2,MHK,1.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:08:44,Mohonk,21.314,9.2,103.8,0.1,-1.16,75.7,0.03,49,727.1,MHK,1,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:08:16,Mohonk,21.375,9.19,103.8,0.1,-1.14,75.7,0.03,49,727.2,MHK,0.75,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:07:44,Mohonk,21.551,9.17,104,0.08,-1.16,75.8,0.03,49,727.1,MHK,0.5,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:06:58,Mohonk,21.758,9.15,104.2,0.07,-1.18,75.8,0.03,49,727.1,MHK,0.25,NA,NA,NA,41.766,-74.158,379
9/3/2025,13:06:30,Mohonk,21.767,9.14,104.1,0.06,-1.18,75.9,0.03,49,727.1,MHK,0,NA,NA,NA,41.766,-74.158,379
