Date,Time,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
10/22/2025,15:19:16,6.796,0.49,4,0.08,0.96,109.6,0.05,71,720.5,MHK,0,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:18:49,6.863,0.51,4.2,0.07,0.94,109,0.05,71,720.6,MHK,0.25,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:18:22,7.078,0.53,4.4,0.11,0.95,108.2,0.05,70,720.5,MHK,0.5,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:17:58,7.157,0.57,4.7,0.08,0.94,106.3,0.05,69,720.4,MHK,0.75,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:17:16,7.363,0.67,5.6,0.07,0.88,104.1,0.05,68,720.4,MHK,1,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:16:55,7.491,0.76,6.3,0.07,0.9,103.6,0.05,67,720.5,MHK,1.25,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:16:34,7.616,0.92,7.7,0.1,0.86,103.4,0.05,67,720.4,MHK,1.5,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:15:54,7.841,1.41,11.8,0.15,0.88,103,0.05,67,720.4,MHK,1.75,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:15:28,8.176,1.92,16.3,0.09,0.83,103,0.05,67,720.4,MHK,2,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:15:05,8.359,2.51,21.4,0.08,0.76,103,0.05,67,720.5,MHK,2.25,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:14:42,8.785,3.33,28.6,0.19,0.83,102.5,0.05,67,720.5,MHK,2.5,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:14:05,9.619,4.68,41.1,0.2,0.84,101.6,0.05,66,720.4,MHK,2.75,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:13:37,10.413,6.2,55.5,0.49,1.03,100.6,0.05,65,720.5,MHK,3,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:13:07,11.942,8.05,74.7,0.5,1.23,96.9,0.05,63,720.4,MHK,3.25,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:12:40,12.547,9.01,84.6,0.21,0.99,95.3,0.04,62,720.5,MHK,3.5,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:12:08,12.908,9.3,88.1,0.33,0.95,94.8,0.04,62,720.4,MHK,3.75,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:11:46,13.02,9.35,88.8,0.27,0.99,94.6,0.04,61,720.4,MHK,4,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:11:18,13.084,9.41,89.5,0.19,0.97,94.5,0.04,61,720.4,MHK,4.25,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:10:52,13.091,9.42,89.6,0.36,1.02,94.5,0.04,61,720.4,MHK,4.5,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:10:17,13.102,9.44,89.8,0.31,1.03,94.4,0.04,61,720.4,MHK,4.75,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:09:54,13.109,9.46,90,0.43,1.13,94.4,0.04,61,720.3,MHK,5,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:09:29,13.118,9.48,90.2,0.23,0.97,94.4,0.04,61,720.5,MHK,5.25,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:09:08,13.134,9.51,90.5,0.32,1.02,94.3,0.04,61,720.4,MHK,5.5,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:08:42,13.143,9.51,90.6,0.27,1.02,94.3,0.04,61,720.5,MHK,5.75,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:08:11,13.156,9.52,90.7,0.33,1,94.3,0.04,61,720.4,MHK,6,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:07:34,13.186,9.53,90.9,0.25,0.99,94.3,0.04,61,720.4,MHK,6.25,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:07:11,13.226,9.55,91.1,0.36,1.14,94.2,0.04,61,720.4,MHK,6.5,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:06:29,13.284,9.59,91.6,0.34,1.07,94.1,0.04,61,720.4,MHK,6.75,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:06:06,13.318,9.62,92,0.22,0.92,94.1,0.04,61,720.4,MHK,7,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:05:35,13.395,9.64,92.3,0.23,0.93,94,0.04,61,720.4,MHK,7.25,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:05:03,13.446,9.65,92.5,0.2,0.94,94,0.04,61,720.4,MHK,7.5,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:04:36,13.499,9.65,92.7,0.25,0.92,93.9,0.04,61,720.4,MHK,7.75,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:04:07,13.508,9.65,92.7,0.2,0.83,93.9,0.04,61,720.4,MHK,8,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:03:45,13.522,9.66,92.8,0.25,0.91,93.9,0.04,61,720.4,MHK,8.25,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:03:16,13.536,9.66,92.8,0.22,0.9,93.8,0.04,61,720.4,MHK,8.5,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:02:48,13.541,9.67,92.9,0.29,0.89,93.8,0.04,61,720.4,MHK,8.75,NA,NA,NA,41.766,−74.158,379
10/22/2025,15:02:04,13.549,9.69,93.1,0.19,0.88,93.7,0.04,61,720.4,MHK,9,NA,NA,NA,41.766,−74.158,379
