Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
2/17/2026,12:00:04,Osiris,0.736,17.89,125,4.63,2.24,287.6,0.14,187,754,OSR,0,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:00:35,Osiris,1.809,18.07,130.1,10.16,4.04,281.6,0.13,183,754.1,OSR,0.25,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:01:10,Osiris,2.886,17.67,131,16.59,5.51,281.4,0.13,183,754.1,OSR,0.5,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:01:35,Osiris,3.704,16.68,126.4,32.91,7.69,282.6,0.13,184,754.1,OSR,0.75,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:02:22,Osiris,3.737,15.38,116.6,33.58,7.91,294.3,0.14,191,754,OSR,1,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:02:50,Osiris,4.017,13.88,106,28.44,7.49,296.3,0.14,193,754,OSR,1.25,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:03:14,Osiris,4.271,12.48,96,23.77,5.96,298.4,0.14,194,754.2,OSR,1.5,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:03:40,Osiris,4.36,11.09,85.5,11.08,4.37,301.1,0.14,196,754,OSR,1.75,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:04:04,Osiris,4.577,8.84,68.6,5.58,2.74,306,0.15,199,754,OSR,2,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:04:27,Osiris,4.596,7.56,58.6,3.8,2.42,307.4,0.15,200,754,OSR,2.25,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:04:50,Osiris,4.633,6.46,50.2,3.13,2.2,308.4,0.15,200,754,OSR,2.5,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:05:14,Osiris,4.647,5.67,44.1,2.55,2.05,308.9,0.15,201,754,OSR,2.75,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:05:39,Osiris,4.65,5.14,39.9,2.8,2.24,308.7,0.15,201,754.1,OSR,3,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:06:04,Osiris,4.656,4.77,37.1,2.45,2,308.9,0.15,201,754.1,OSR,3.25,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:06:30,Osiris,4.674,4.47,34.7,2.24,2.04,309.2,0.15,201,754.1,OSR,3.5,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:06:54,Osiris,4.716,4.23,32.9,10.23,19.2,312.3,0.15,203,754,OSR,3.75,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:07:25,Osiris,4.937,3.56,27.9,6.15,16.12,326.7,0.16,212,754,OSR,4,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:07:56,Osiris,4.962,2.62,20.5,3.48,10.75,321.4,0.15,209,754,OSR,4.25,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:08:20,Osiris,4.942,2.2,17.2,3.62,9.76,320.7,0.15,208,754,OSR,4.5,NA,NA,NA,41.5797,-74.1662,354
2/17/2026,12:08:46,Osiris,4.948,1.89,14.8,3.6,8.88,320.6,0.15,208,754,OSR,4.75,NA,NA,NA,41.5797,-74.1662,354
