Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,pH,latitude,longitude,altitude_m
7/8/2026,13:43:03,Osiris,28.194,8.19,105.1,0.56,-0.01,199,0.09,129,752.4,OSR,0,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:43:29,Osiris,27.506,8.32,105.3,0.52,0,197.9,0.09,129,752.3,OSR,0.25,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:44:05,Osiris,27.152,8.33,104.9,0.49,0.07,197,0.09,128,752.4,OSR,0.5,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:44:33,Osiris,26.764,8.23,102.9,0.66,0.11,197.9,0.09,129,752.3,OSR,0.75,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:44:57,Osiris,26.539,8.27,103,0.82,0.24,196.7,0.09,128,752.4,OSR,1,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:45:24,Osiris,26.349,8.25,102.4,1.03,0.2,197.2,0.09,128,752.4,OSR,1.25,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:45:53,Osiris,26.204,8.07,99.8,1.23,0.47,197.9,0.09,129,752.3,OSR,1.5,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:46:44,Osiris,26.085,7.89,97.4,1.27,0.78,198.6,0.09,129,752.4,OSR,1.75,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:47:09,Osiris,26.005,7.8,96.2,1.26,0.8,199.1,0.09,129,752.5,OSR,2,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:47:41,Osiris,25.925,7.82,96.3,1.31,0.87,199.2,0.09,129,752.3,OSR,2.25,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:48:16,Osiris,25.848,7.71,94.8,1.33,0.76,198.8,0.09,129,752.4,OSR,2.5,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:48:45,Osiris,25.606,6.24,76.5,1.54,1.9,209.4,0.1,136,752.4,OSR,2.75,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:49:30,Osiris,24.478,2.32,27.8,2.08,5,262.2,0.12,170,752.4,OSR,3,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:49:56,Osiris,23.317,3.92,46,3.49,92.79,283.3,0.13,184,752.3,OSR,3.25,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:50:50,Osiris,20.946,0.84,9.4,6.55,70.59,330.1,0.16,215,752.4,OSR,3.5,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:51:15,Osiris,19.146,0.54,5.8,2.31,43.17,360.1,0.17,234,752.3,OSR,3.75,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:51:45,Osiris,17.437,0.44,4.6,1.83,32.24,424.8,0.2,276,752.4,OSR,4,NA,NA,NA,NA,41.5797,-74.1662,354
7/8/2026,13:52:13,Osiris,16.94,0.38,4,13.4,56.54,483.8,0.23,314,752.3,OSR,4.25,NA,NA,NA,NA,41.5797,-74.1662,354
