Date,Time,Site_Name,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,specificConductivity_uSpcm,salinity_psu,tds_mgpL,barometerAirHandheld_mbars,lakeID,Depth_m,turbidity_Fnu,orp_MV,waterPressure_barA,latitude,longitude,altitude_m
8/7/2025,14:54:40,Osiris,15.536,0.28,2.8,1.39,3.54,511.4,0.25,332,759.3,OSR,5,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:54:10,Osiris,16.511,0.29,3,7.25,12.65,435.5,0.21,283,759.3,OSR,4.75,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:53:46,Osiris,17.541,0.3,3.2,1.73,12.65,397.7,0.19,259,759.3,OSR,4.5,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:53:02,Osiris,19.886,0.34,3.8,1.65,9.85,330.2,0.16,215,759.4,OSR,4.25,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:52:26,Osiris,22.897,0.39,4.6,2.64,23.78,248.7,0.12,162,759.4,OSR,4,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:52:00,Osiris,24.611,0.48,5.7,26.91,61.23,227,0.11,148,759.4,OSR,3.75,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:51:07,Osiris,25.034,1.17,14.2,51.51,75.61,224.7,0.11,146,759.4,OSR,3.5,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:50:22,Osiris,25.746,4.63,56.9,3.97,0.74,218.3,0.1,142,759.4,OSR,3.25,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:50:15,Osiris,25.832,6.81,83.7,4.06,0.5,216.1,0.1,140,759.4,OSR,3,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:49:48,Osiris,25.925,8.15,100.4,5.08,0.33,214.9,0.1,140,759.4,OSR,2.75,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:49:18,Osiris,25.991,8.76,108,4.27,0.17,213.4,0.1,139,759.4,OSR,2.5,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:48:39,Osiris,26.069,9.32,115.1,5.34,0.25,213.4,0.1,139,759.4,OSR,2.25,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:48:14,Osiris,26.158,9.84,121.7,4.61,0.2,211.8,0.1,138,759.4,OSR,2,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:47:45,Osiris,26.252,10.08,124.8,4.54,0.17,212,0.1,138,759.4,OSR,1.75,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:47:19,Osiris,26.355,10.23,126.9,4.26,0.14,212.2,0.1,138,759.4,OSR,1.5,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:46:41,Osiris,26.519,10.42,129.7,4.26,0.15,211.9,0.1,138,759.4,OSR,1.25,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:46:13,Osiris,26.749,10.37,129.6,4.2,0.11,211.3,0.1,137,759.4,OSR,1,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:45:50,Osiris,27.138,10.28,129.3,3.31,-0.24,211.5,0.1,137,759.3,OSR,0.75,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:45:25,Osiris,27.689,10.08,128.2,3.11,-0.16,212.2,0.1,138,759.4,OSR,0.5,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:44:53,Osiris,27.707,10.06,128,3,-0.21,212.2,0.1,138,759.5,OSR,0.25,NA,NA,NA,41.5797,-74.1662,354
8/7/2025,14:44:31,Osiris,27.689,10.05,127.7,2.79,-0.3,212.1,0.1,138,759.4,OSR,0,NA,NA,NA,41.5797,-74.1662,354
