lakeID,date_yyyy-mm-dd,time_hhmmss,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll _RFU,phycocyaninBGA_RFU-14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,7/2/2024,11:53:09,0,22.98,9.08,105.8,0.16,-0.4,NA,7.79,NA,91.5,0.04,59,NA,41.76786,-74.15557,382.1,735.8
MHK,7/2/2024,11:53:59,0.25,22.973,8.98,104.7,0.17,-0.38,NA,7.77,NA,91.2,0.04,59,NA,41.76787,-74.15557,381.3,735.7
MHK,7/2/2024,11:54:50,0.5,22.813,8.94,103.9,0.21,-0.36,NA,7.76,NA,91,0.04,59,NA,41.76794,-74.15562,378.4,735.7
MHK,7/2/2024,11:56:32,0.75,22.705,8.93,103.6,0.23,-0.36,NA,7.75,NA,90.9,0.04,59,NA,41.7679,-74.15556,379.8,735.7
MHK,7/2/2024,11:57:08,1,22.65,8.92,103.3,0.3,-0.33,NA,7.75,NA,90.9,0.04,59,NA,41.76791,-74.15554,381.2,735.7
MHK,7/2/2024,11:57:35,1.25,22.603,8.92,103.2,0.28,-0.34,NA,7.75,NA,90.9,0.04,59,NA,41.76789,-74.15555,382.1,735.7
MHK,7/2/2024,11:58:13,1.5,22.571,8.92,103.2,0.28,-0.32,NA,7.76,NA,90.9,0.04,59,NA,41.76789,-74.15552,386.2,735.6
MHK,7/2/2024,11:58:44,1.75,22.489,8.94,103.3,0.26,-0.33,NA,7.76,NA,90.9,0.04,59,NA,41.7679,-74.15551,385.5,735.7
MHK,7/2/2024,11:59:29,2,22.478,8.95,103.3,0.22,-0.35,NA,7.77,NA,90.8,0.04,59,NA,41.76793,-74.15551,379.8,735.7
MHK,7/2/2024,12:00:03,2.25,22.453,8.96,103.4,0.22,-0.34,NA,7.77,NA,90.8,0.04,59,NA,41.76788,-74.15555,383.3,735.7
MHK,7/2/2024,12:00:43,2.5,22.422,8.96,103.3,0.27,-0.32,NA,7.77,NA,90.9,0.04,59,NA,41.76786,-74.15556,382.4,735.7
MHK,7/2/2024,12:01:08,2.75,22.407,8.95,103.2,0.28,-0.33,NA,7.77,NA,90.8,0.04,59,NA,41.76791,-74.15558,379.3,735.7
MHK,7/2/2024,12:01:35,3,22.398,8.93,102.9,0.33,-0.33,NA,7.76,NA,90.9,0.04,59,NA,41.76792,-74.15556,378.7,735.7
MHK,7/2/2024,12:02:45,3.25,22.36,8.9,102.5,0.35,-0.34,NA,7.73,NA,90.9,0.04,59,NA,41.76791,-74.15557,376.3,735.7
MHK,7/2/2024,12:03:13,3.5,22.312,8.79,101.1,0.31,-0.28,NA,7.68,NA,91,0.04,59,NA,41.76789,-74.15557,378.9,735.7
MHK,7/2/2024,12:03:48,3.75,22.28,8.75,100.6,0.32,-0.32,NA,7.64,NA,91,0.04,59,NA,41.76789,-74.15558,376.1,735.7
MHK,7/2/2024,12:04:14,4,20.917,9.59,107.5,0.33,-0.27,NA,7.58,NA,91.7,0.04,60,NA,41.76787,-74.15557,377.5,735.7
MHK,7/2/2024,12:04:41,4.25,19.798,10.69,117.2,0.52,-0.17,NA,7.53,NA,91.9,0.04,60,NA,41.76797,-74.15555,366.9,735.7
MHK,7/2/2024,12:05:09,4.5,18.686,11.7,125.4,0.44,-0.22,NA,7.56,NA,91.3,0.04,59,NA,41.76792,-74.1556,371.4,735.7
MHK,7/2/2024,12:05:39,4.75,17.684,12.16,127.6,0.37,-0.17,NA,7.6,NA,91.6,0.04,60,NA,41.7679,-74.15557,374.3,735.7
MHK,7/2/2024,12:06:21,5,16.044,12.32,124.9,0.4,-0.14,NA,7.58,NA,91.7,0.04,60,NA,41.76793,-74.15556,374.2,735.7
MHK,7/2/2024,12:06:51,5.25,15.057,12.28,122,0.36,-0.14,NA,7.5,NA,92,0.04,60,NA,41.7679,-74.15557,372.5,735.7
MHK,7/2/2024,12:07:14,5.5,14.189,12.36,120.5,0.44,-0.05,NA,7.47,NA,91.7,0.04,60,NA,41.76791,-74.15558,369.8,735.7
MHK,7/2/2024,12:07:35,5.75,13.055,12.54,119.3,0.38,-0.07,NA,7.47,NA,91.9,0.04,60,NA,41.76789,-74.15558,374,735.7
MHK,7/2/2024,12:07:58,6,12.352,12.84,120.2,0.5,0.01,NA,7.5,NA,91.3,0.04,59,NA,41.76791,-74.15557,372.6,735.7
MHK,7/2/2024,12:08:39,6.25,10.862,13.07,118.1,0.45,0.02,NA,7.52,NA,90.5,0.04,59,NA,41.76791,-74.1556,371.5,735.7
MHK,7/2/2024,12:09:15,6.5,10.562,13.08,117.5,0.41,0.08,NA,7.5,NA,90.8,0.04,59,NA,41.76796,-74.1556,364.5,735.7
