lakeID,DATE,TIME,Depth _m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll _RFU,phycocyaninBGA_RFU-14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,2024-09-25,10:04:43 AM,0,19.429,9.72,105.7,0.5,-0.28,NA,8.37,NA,89.4,0.04,58,NA,41.76786,-74.15561,0,733.5
MHK,2024-09-25,10:05:44 AM,0.25,19.473,9.56,104.1,0.51,-0.29,NA,8.14,NA,89.9,0.04,58,NA,41.76786,-74.15561,0,733.5
MHK,2024-09-25,10:06:09 AM,0.5,19.477,9.53,103.7,0.52,-0.31,NA,8.12,NA,89.8,0.04,58,NA,41.76786,-74.15561,0,733.5
MHK,2024-09-25,10:06:35 AM,0.75,19.477,9.51,103.6,0.55,-0.34,NA,8.12,NA,89.9,0.04,58,NA,41.76786,-74.15561,0,733.5
MHK,2024-09-25,10:06:57 AM,1,19.476,9.5,103.4,0.52,-0.34,NA,8.11,NA,89.9,0.04,58,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:07:19 AM,1.25,19.479,9.5,103.4,0.54,-0.3,NA,8.11,NA,90,0.04,58,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:07:44 AM,1.5,19.474,9.51,103.6,0.54,-0.28,NA,8.13,NA,90,0.04,59,NA,41.76786,-74.15561,0,733.5
MHK,2024-09-25,10:08:05 AM,1.75,19.472,9.52,103.6,0.43,-0.37,NA,8.16,NA,90,0.04,58,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:08:27 AM,2,19.472,9.52,103.6,0.61,-0.3,NA,8.17,NA,90,0.04,59,NA,41.76786,-74.15561,0,733.5
MHK,2024-09-25,10:08:51 AM,2.25,19.469,9.52,103.6,0.52,-0.34,NA,8.17,NA,90.1,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:09:13 AM,2.5,19.466,9.52,103.6,0.5,-0.34,NA,8.17,NA,90.1,0.04,59,NA,41.76786,-74.15561,0,733.5
MHK,2024-09-25,10:09:35 AM,2.75,19.466,9.51,103.5,0.53,-0.32,NA,8.17,NA,90.1,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:09:59 AM,3,19.463,9.5,103.4,0.59,-0.29,NA,8.16,NA,90.2,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:10:38 AM,3.25,19.453,9.49,103.2,0.74,-0.27,NA,8.14,NA,90.2,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:11:01 AM,3.5,19.446,9.49,103.2,0.63,-0.32,NA,8.14,NA,90.2,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:11:25 AM,3.75,19.414,9.47,103,0.56,-0.33,NA,8.12,NA,90.3,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:11:51 AM,4,19.379,9.45,102.7,0.59,-0.3,NA,8.1,NA,90.3,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:12:17 AM,4.25,19.347,9.44,102.5,0.55,-0.33,NA,8.07,NA,90.3,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:12:39 AM,4.5,19.189,9.43,102.1,0.61,-0.29,NA,8.01,NA,90.4,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:13:00 AM,4.75,19.129,9.43,101.9,0.71,-0.23,NA,7.91,NA,90.3,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:13:21 AM,5,19.112,9.42,101.8,0.68,-0.27,NA,7.83,NA,90.3,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:13:42 AM,5.25,19.103,9.42,101.8,0.8,-0.24,NA,7.79,NA,90.3,0.04,59,NA,41.76786,-74.15561,0,733.4
MHK,2024-09-25,10:14:02 AM,5.5,18.945,9.39,101.2,1.04,-0.08,NA,7.74,NA,90.6,0.04,59,NA,41.76786,-74.15561,391.4,733.4
MHK,2024-09-25,10:14:29 AM,5.75,18.78,9.43,101.3,1.03,-0.06,NA,7.59,NA,90.6,0.04,59,NA,41.76787,-74.15562,389.5,733.4
MHK,2024-09-25,10:14:57 AM,6,17.546,9.47,99.2,1.07,-0.13,NA,7.38,NA,92.3,0.04,60,NA,41.76785,-74.15563,396.8,733.5
MHK,2024-09-25,10:15:26 AM,6.25,16.969,9.55,98.8,0.91,-0.14,NA,7.22,NA,92,0.04,60,NA,41.76789,-74.15562,395.9,733.4
MHK,2024-09-25,10:15:49 AM,6.5,16.101,9.31,94.6,0.97,-0.09,NA,7.1,NA,92.4,0.04,60,NA,41.7679,-74.15556,381.6,733.4
MHK,2024-09-25,10:16:01 AM,6.75,15.647,9.24,93,0.97,-0.06,NA,7.05,NA,92.5,0.04,60,NA,41.76791,-74.15554,376.2,733.4
MHK,2024-09-25,10:16:23 AM,7,14.873,9.04,89.4,0.73,-0.17,NA,6.97,NA,91.8,0.04,60,NA,41.76791,-74.15553,373.8,733.4
MHK,2024-09-25,10:16:51 AM,7.25,13.68,8.89,85.7,0.68,-0.16,NA,6.92,NA,91.8,0.04,60,NA,41.76788,-74.15559,381.1,733.4
MHK,2024-09-25,10:17:24 AM,7.5,12.82,8.76,82.9,0.57,-0.11,NA,6.88,NA,92.1,0.04,60,NA,41.76786,-74.15561,382.5,733.5
MHK,2024-09-25,10:17:44 AM,7.75,12.363,8.63,80.7,0.7,-0.12,NA,6.86,NA,91.8,0.04,60,NA,41.76788,-74.15559,380.1,733.3
MHK,2024-09-25,10:18:05 AM,8,11.63,8.43,77.6,0.59,-0.12,NA,6.84,NA,91.8,0.04,60,NA,41.76786,-74.15559,380.5,733.3
MHK,2024-09-25,10:18:39 AM,8.25,10.565,7.93,71.2,0.55,-0.1,NA,6.8,NA,91.9,0.04,60,NA,41.76786,-74.15558,380.6,733.4
MHK,2024-09-25,10:19:00 AM,8.5,10.134,7.63,67.8,0.47,-0.12,NA,6.77,NA,91.9,0.04,60,NA,41.76791,-74.15555,376.8,733.4
