lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,11/20/2024,10:09:32,0,8.969,10.27,88.8,0.21,0.09,NA,NA,NA,93.1,0.04,61,NA,41.76792,-74.15556,373,723.6
MHK,11/20/2024,10:09:55,0.25,8.873,10,86.3,0.25,0.08,NA,NA,NA,91.9,0.04,60,NA,41.76788,-74.15557,374,723.6
MHK,11/20/2024,10:10:26,0.5,8.86,9.82,84.7,0.17,-0.06,NA,NA,NA,91.6,0.04,60,NA,41.76789,-74.15558,374.4,723.7
MHK,11/20/2024,10:11:17,0.75,8.84,9.68,83.4,0.31,-0.17,NA,NA,NA,92.5,0.04,60,NA,41.7679,-74.15559,376.1,723.7
MHK,11/20/2024,10:11:57,1,8.832,9.58,82.6,0.64,-0.06,NA,NA,NA,92.4,0.04,60,NA,41.76789,-74.15558,380.2,723.7
MHK,11/20/2024,10:12:24,1.25,8.829,9.54,82.2,0.31,-0.21,NA,NA,NA,92.4,0.04,60,NA,41.76788,-74.15559,380.6,723.7
MHK,11/20/2024,10:12:48,1.5,8.827,9.51,81.9,0.38,-0.15,NA,NA,NA,92.5,0.04,60,NA,41.76788,-74.15559,381.8,723.7
MHK,11/20/2024,10:13:18,1.75,8.826,9.48,81.6,0.21,-0.21,NA,NA,NA,92.5,0.04,60,NA,41.76788,-74.15557,379.4,723.6
MHK,11/20/2024,10:13:55,2,8.816,9.45,81.4,0.25,-0.14,NA,NA,NA,92.4,0.04,60,NA,41.76788,-74.15556,377.8,723.7
MHK,11/20/2024,10:14:22,2.25,8.815,9.43,81.3,0.58,0.01,NA,NA,NA,92.4,0.04,60,NA,41.76788,-74.15556,377.2,723.6
MHK,11/20/2024,10:14:58,2.5,8.806,9.41,81,0.28,-0.2,NA,NA,NA,92.4,0.04,60,NA,41.76787,-74.15556,378.7,723.7
MHK,11/20/2024,10:15:28,2.75,8.802,9.39,80.9,0.32,-0.18,NA,NA,NA,92.4,0.04,60,NA,41.76786,-74.15556,377.9,723.7
MHK,11/20/2024,10:15:51,3,8.796,9.38,80.8,0.39,-0.18,NA,NA,NA,92.4,0.04,60,NA,41.76784,-74.15556,377.3,723.6
MHK,11/20/2024,10:16:20,3.25,8.786,9.37,80.6,0.25,-0.24,NA,NA,NA,92.4,0.04,60,NA,41.76786,-74.15555,378.7,723.6
MHK,11/20/2024,10:16:47,3.5,8.781,9.36,80.5,0.23,-0.25,NA,NA,NA,92.4,0.04,60,NA,41.76786,-74.15556,377.1,723.7
MHK,11/20/2024,10:17:24,3.75,8.784,9.34,80.4,0.2,-0.24,NA,NA,NA,92.3,0.04,60,NA,41.76787,-74.15556,379.2,723.7
MHK,11/20/2024,10:18:03,4,8.78,9.33,80.3,0.1,-0.23,NA,NA,NA,92.4,0.04,60,NA,41.76789,-74.15556,375.7,723.6
MHK,11/20/2024,10:18:39,4.25,8.78,9.31,80.2,0.13,-0.29,NA,NA,NA,92.4,0.04,60,NA,41.76788,-74.15554,374,723.7
MHK,11/20/2024,10:19:07,4.5,8.774,9.3,80,0.29,-0.27,NA,NA,NA,92.4,0.04,60,NA,41.76793,-74.15557,380.6,723.6
MHK,11/20/2024,10:19:47,4.75,8.769,9.28,79.8,0.36,-0.22,NA,NA,NA,92.4,0.04,60,NA,41.76789,-74.15556,381.7,723.6
MHK,11/20/2024,10:20:20,5,8.769,9.26,79.7,0.14,-0.24,NA,NA,NA,92.4,0.04,60,NA,41.76788,-74.1556,381.2,723.5
MHK,11/20/2024,10:20:48,5.25,8.766,9.25,79.6,0.25,-0.21,NA,NA,NA,92.4,0.04,60,NA,41.76789,-74.15558,380,723.5
MHK,11/20/2024,10:21:13,5.5,8.767,9.24,79.5,0.17,-0.24,NA,NA,NA,92.4,0.04,60,NA,41.76787,-74.15559,383.1,723.6
MHK,11/20/2024,10:21:37,5.75,8.762,9.23,79.4,0.16,-0.27,NA,NA,NA,92.4,0.04,60,NA,41.76786,-74.15559,380.9,723.6
MHK,11/20/2024,10:22:05,6,8.759,9.23,79.4,0.35,-0.24,NA,NA,NA,92.4,0.04,60,NA,41.76791,-74.15562,388.5,723.6
MHK,11/20/2024,10:22:37,6.25,8.755,9.23,79.4,0.13,-0.28,NA,NA,NA,92.4,0.04,60,NA,41.76799,-74.15562,404.9,723.6
MHK,11/20/2024,10:23:04,6.5,8.751,9.23,79.4,0.16,-0.27,NA,NA,NA,92.4,0.04,60,NA,41.76815,-74.15575,419.5,723.6
MHK,11/20/2024,10:23:34,6.75,8.748,9.23,79.3,0.24,-0.25,NA,NA,NA,92.5,0.04,60,NA,41.76812,-74.1557,425.7,723.6
MHK,11/20/2024,10:24:23,7,8.745,9.22,79.3,0.14,-0.27,NA,NA,NA,92.5,0.04,60,NA,41.7682,-74.15578,437.8,723.5
MHK,11/20/2024,10:24:57,7.25,8.742,9.21,79.2,0.1,-0.25,NA,NA,NA,92.4,0.04,60,NA,41.76793,-74.15556,402,723.4
MHK,11/20/2024,10:25:21,7.5,8.739,9.2,79.1,0.13,-0.29,NA,NA,NA,92.4,0.04,60,NA,41.76785,-74.15549,383,723.4
MHK,11/20/2024,10:25:54,7.75,8.731,9.17,78.9,0.13,-0.25,NA,NA,NA,92.5,0.04,60,NA,41.76783,-74.15549,375.8,723.5
MHK,11/20/2024,10:26:20,8,8.729,9.15,78.6,0.51,-0.15,NA,NA,NA,92.5,0.04,60,NA,41.7681,-74.15571,408.9,723.5
MHK,11/20/2024,10:26:44,8.25,8.726,9.11,78.3,0.41,-0.18,NA,NA,NA,92.6,0.04,60,NA,41.76813,-74.15575,422.2,723.5
