lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,1/29/2025,10:07:00,NA,0.139,13.49,92.6,1.06,0.06,NA,NA,NA,110.4,0.05,72,NA,0,0,0,712.6
MHK,1/29/2025,10:07:36,NA,0.186,13.88,95.4,0.97,0.23,NA,NA,NA,107.4,0.05,70,NA,0,0,0,712.6
MHK,1/29/2025,10:08:11,NA,0.625,14.01,97.6,1.06,0.33,NA,NA,NA,104.3,0.05,68,NA,0,0,0,712.6
MHK,1/29/2025,10:08:49,NA,1.419,13.69,97.4,0.88,0.2,NA,NA,NA,99.7,0.05,65,NA,0,0,0,712.6
MHK,1/29/2025,10:09:19,NA,1.609,13.48,96.4,1.1,0.25,NA,NA,NA,98.5,0.05,64,NA,0,0,0,712.6
MHK,1/29/2025,10:09:46,NA,1.674,13.28,95.2,1.02,0.29,NA,NA,NA,97.7,0.05,64,NA,0,0,0,712.6
MHK,1/29/2025,10:10:08,NA,1.701,13.15,94.4,1.28,0.31,NA,NA,NA,97.3,0.05,63,NA,0,0,0,712.6
MHK,1/29/2025,10:10:31,NA,1.714,13.05,93.6,1.06,0.31,NA,NA,NA,97.1,0.05,63,NA,41.76799,-74.1556,396.5,712.5
MHK,1/29/2025,10:10:54,NA,1.723,12.96,93,1.14,0.31,NA,NA,NA,97,0.05,63,NA,0,0,0,712.6
MHK,1/29/2025,10:11:19,NA,1.726,12.9,92.6,1.69,0.39,NA,NA,NA,97,0.04,63,NA,41.76805,-74.15566,395.6,712.6
MHK,1/29/2025,10:11:41,NA,1.73,12.86,92.3,1.28,0.41,NA,NA,NA,96.9,0.04,63,NA,41.76791,-74.15555,395.9,712.6
MHK,1/29/2025,10:12:10,NA,1.733,12.82,92.1,1.16,0.36,NA,NA,NA,96.9,0.04,63,NA,41.76823,-74.15575,396.1,712.6
MHK,1/29/2025,10:12:38,NA,1.733,12.79,91.8,1.53,0.42,NA,NA,NA,96.9,0.04,63,NA,0,0,0,712.6
MHK,1/29/2025,10:13:03,NA,1.739,12.77,91.7,1.01,0.38,NA,NA,NA,97,0.04,63,NA,41.76784,-74.15557,396.1,712.6
MHK,1/29/2025,10:13:33,NA,1.743,12.74,91.5,1.14,0.4,NA,NA,NA,97,0.04,63,NA,41.76807,-74.15569,396.7,712.7
MHK,1/29/2025,10:14:07,NA,1.764,12.61,90.6,0.89,0.28,NA,NA,NA,97.2,0.05,63,NA,41.76793,-74.15557,379.2,712.6
MHK,1/29/2025,10:14:32,NA,1.773,12.55,90.2,3.57,0.43,NA,NA,NA,97.2,0.05,63,NA,41.7679,-74.15555,379.7,712.6
MHK,1/29/2025,10:14:54,NA,1.777,12.54,90.1,1.36,0.36,NA,NA,NA,97.5,0.05,63,NA,41.76793,-74.15556,380.6,712.6
MHK,1/29/2025,10:15:15,NA,1.786,12.54,90.2,1.28,0.45,NA,NA,NA,97.6,0.05,63,NA,41.76789,-74.15553,376.9,712.6
MHK,1/29/2025,10:15:36,NA,1.795,12.55,90.3,1.2,0.32,NA,NA,NA,97.8,0.05,64,NA,41.76788,-74.1556,382.8,712.6
MHK,1/29/2025,10:16:02,NA,1.808,12.52,90.1,1.15,0.31,NA,NA,NA,97.6,0.05,63,NA,41.76787,-74.15555,383.9,712.6
MHK,1/29/2025,10:16:26,NA,1.817,12.48,89.8,0.74,0.67,NA,NA,NA,97.6,0.05,63,NA,41.76788,-74.15556,381.6,712.7
MHK,1/29/2025,10:16:48,NA,1.832,12.45,89.6,1.18,0.37,NA,NA,NA,97.8,0.05,64,NA,41.76792,-74.15556,380.7,712.6
MHK,1/29/2025,10:17:12,NA,1.857,12.4,89.3,1.09,0.52,NA,NA,NA,97.7,0.05,64,NA,41.76793,-74.15552,378.6,712.7
MHK,1/29/2025,10:17:34,NA,1.879,12.34,89,1.04,0.32,NA,NA,NA,97.6,0.05,63,NA,41.76791,-74.15555,378.4,712.6
MHK,1/29/2025,10:17:55,NA,1.896,12.27,88.5,0.35,0.45,NA,NA,NA,97.5,0.05,63,NA,41.76792,-74.15556,379.6,712.6
MHK,1/29/2025,10:18:18,NA,1.918,12.17,87.8,0.99,0.4,NA,NA,NA,97.4,0.05,63,NA,41.76793,-74.15556,380.6,712.6
