TIME,DATE,FILE NAME,SITE NAME,FAULT CODE,PHYCOCYANIN (RFU)-14C102008,BAROMETER (MMHG)-24C102759,CHLOROPHYLL (RFU)-14C102008,COND (µS/CM)-15F102368,SP COND (µS/CM)-15F102368,TDS (MG/L)-15F102368,SAL (PSU)-15F102368,NLFCOND (µS/CM)-15F102368,DO (% SAT)-13C101369,DO (MG/L)-13C101369,DO (% CB)-13C101369,GPS LATITUDE (°)-24C102759,GPS LONGITUDE (°)-24C102759,ALTITUDE (M)-24C102759,PH-15H100582,PH (MV)-15H100582,CABLE POWER (VOLT)-24C102759,BATTERY POWER (VOLT)-24C102759,TEMP (°C)-15F102368,
11:33:55 AM,11/6/2024,241106-113355-Mohonk.bin,Mohonk,0,5.63,728.4,5.65,71.5,110.6,72,0.05,112.4,2.8,0.35,2.8,41.76786,-74.15559,382.9,,,11.9,2.74,6.494,
11:33:18 AM,11/6/2024,241106-113318-Mohonk.bin,Mohonk,0,3.40,728.5,3.77,71.0,109.8,71,0.05,111.6,2.9,0.36,2.9,41.76785,-74.15565,375.1,,,11.9,2.74,6.502,
11:32:48 AM,11/6/2024,241106-113248-Mohonk.bin,Mohonk,0,-0.15,728.5,0.14,69.1,106.7,69,0.05,108.5,3.1,0.38,3.1,41.76789,-74.15560,369.6,,,11.9,2.74,6.552,
11:32:19 AM,11/6/2024,241106-113219-Mohonk.bin,Mohonk,0,-0.15,728.5,0.11,68.3,105.1,68,0.05,106.8,3.3,0.41,3.3,41.76791,-74.15556,369.2,,,11.9,2.74,6.641,
11:31:56 AM,11/6/2024,241106-113155-Mohonk.bin,Mohonk,0,-0.17,728.5,0.13,67.5,103.4,67,0.05,105.1,3.6,0.44,3.6,41.76789,-74.15558,375.3,,,11.9,2.74,6.804,
11:31:33 AM,11/6/2024,241106-113133-Mohonk.bin,Mohonk,0,-0.18,728.4,0.11,67.0,102.2,66,0.05,103.9,4.0,0.48,4.0,41.76791,-74.15557,376.8,,,11.9,2.74,6.938,
11:31:06 AM,11/6/2024,241106-113106-Mohonk.bin,Mohonk,0,-0.24,728.5,0.10,66.5,100.2,65,0.05,101.9,4.5,0.54,4.5,41.76788,-74.15557,382.3,,,11.9,2.74,7.409,
11:30:38 AM,11/6/2024,241106-113037-Mohonk.bin,Mohonk,0,-0.27,728.4,0.06,65.8,98.1,64,0.05,99.8,5.3,0.63,5.3,41.76790,-74.15558,379.7,,,11.9,2.74,7.754,
11:30:00 AM,11/6/2024,241106-112959-Mohonk.bin,Mohonk,0,-0.28,728.4,0.09,64.7,95.5,62,0.04,97.1,7.6,0.90,7.6,41.76787,-74.15559,379.0,,,11.9,2.74,8.140,
11:29:37 AM,11/6/2024,241106-112937-Mohonk.bin,Mohonk,0,-0.32,728.4,0.07,64.5,94.1,61,0.04,95.7,11.3,1.32,11.3,41.76788,-74.15559,379.8,,,11.9,2.74,8.507,
11:29:15 AM,11/6/2024,241106-112914-Mohonk.bin,Mohonk,0,-0.33,728.4,0.12,65.6,94.1,61,0.04,95.8,16.3,1.87,16.3,41.76789,-74.15557,378.5,,,11.9,2.74,9.131,
11:28:40 AM,11/6/2024,241106-112840-Mohonk.bin,Mohonk,0,-0.26,728.5,0.38,66.1,93.5,61,0.04,95.1,23.3,2.65,23.3,41.76790,-74.15557,379.0,,,11.9,2.74,9.695,
