lakeID,Date,Time,Depth_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU_14C102008,turbidity_Fnu,pH,orp_MV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
MHK,7/30/2024,12:57:22,NA,25.59,8.82,107.9,0.33,-0.56,NA,8.26,NA,89.8,0.04,58,NA,41.76774,-74.15535,404.9,728.2
MHK,7/30/2024,12:57:55,NA,25.586,8.84,108.1,0.34,-0.54,NA,8.24,NA,89.4,0.04,58,NA,41.76781,-74.15535,403.5,728.1
MHK,7/30/2024,12:58:21,NA,25.558,8.84,108.1,0.4,-0.51,NA,8.24,NA,89.3,0.04,58,NA,41.76777,-74.15533,406.2,728.1
MHK,7/30/2024,12:58:59,NA,25.484,8.87,108.3,0.39,-0.51,NA,8.26,NA,89.2,0.04,58,NA,41.76779,-74.15538,407.6,728.1
MHK,7/30/2024,13:00:05,NA,25.424,8.9,108.6,0.39,-0.52,NA,8.3,NA,89.3,0.04,58,NA,41.7677,-74.15538,405.5,728.1
MHK,7/30/2024,13:00:57,NA,25.423,8.91,108.6,0.36,-0.51,NA,8.31,NA,89.2,0.04,58,NA,41.76796,-74.15553,388.4,728.1
MHK,7/30/2024,13:01:33,NA,25.379,8.93,108.8,0.37,-0.53,NA,8.33,NA,89.2,0.04,58,NA,41.76788,-74.15556,385.8,728.1
MHK,7/30/2024,13:02:01,NA,25.356,8.94,108.9,0.42,-0.51,NA,8.34,NA,89.3,0.04,58,NA,41.76786,-74.15559,382.3,728.1
MHK,7/30/2024,13:02:27,NA,25.308,8.94,108.9,0.43,-0.47,NA,8.34,NA,89.3,0.04,58,NA,41.76787,-74.15558,382.6,728.1
MHK,7/30/2024,13:02:54,NA,25.263,8.94,108.8,0.51,-0.46,NA,8.34,NA,89.3,0.04,58,NA,41.76782,-74.15556,371.2,728
MHK,7/30/2024,13:03:20,NA,25.206,8.93,108.5,0.55,-0.42,NA,8.33,NA,90.4,0.04,59,NA,41.76784,-74.15556,370.4,728
MHK,7/30/2024,13:03:44,NA,25.181,8.91,108.2,0.53,-0.47,NA,8.3,NA,90.3,0.04,59,NA,41.76785,-74.15554,376.3,728
MHK,7/30/2024,13:04:14,NA,25.157,8.87,107.7,0.59,-0.42,NA,8.25,NA,90.3,0.04,59,NA,41.76783,-74.15555,386,728
MHK,7/30/2024,13:04:40,NA,25.147,8.86,107.5,0.51,-0.43,NA,8.24,NA,90.4,0.04,59,NA,41.76786,-74.15555,387.2,728
MHK,7/30/2024,13:05:04,NA,25.079,8.8,106.7,0.5,-0.43,NA,8.18,NA,90.4,0.04,59,NA,41.76786,-74.15555,380.5,728.1
MHK,7/30/2024,13:05:28,NA,24.996,8.75,105.9,0.63,-0.39,NA,8.1,NA,90.4,0.04,59,NA,41.76788,-74.15556,376.9,727.9
MHK,7/30/2024,13:05:52,NA,24.33,8.61,102.9,0.78,-0.31,NA,7.9,NA,91,0.04,59,NA,41.76786,-74.15557,376.6,728
MHK,7/30/2024,13:06:18,NA,23.63,9.19,108.4,1,-0.16,NA,7.74,NA,91.3,0.04,59,NA,41.76786,-74.15555,380.9,728
MHK,7/30/2024,13:06:43,NA,21.718,10.73,122.1,0.9,-0.19,NA,7.78,NA,93.3,0.04,61,NA,41.76786,-74.15556,381.6,728.1
MHK,7/30/2024,13:07:07,NA,20.196,12.19,134.6,1.21,-0.05,NA,8.02,NA,93.6,0.04,61,NA,41.76788,-74.15556,387.1,727.9
MHK,7/30/2024,13:07:39,NA,18.789,12.64,135.7,1,-0.06,NA,7.92,NA,92.9,0.04,60,NA,41.76788,-74.15557,385.9,728
MHK,7/30/2024,13:07:45,NA,18.626,12.67,135.6,0.75,-0.08,NA,7.89,NA,92.9,0.04,60,NA,41.76788,-74.15557,383.9,728.1
MHK,7/30/2024,13:08:09,NA,17.672,12.53,131.6,0.83,-0.14,NA,7.77,NA,93.1,0.04,61,NA,41.76788,-74.15556,380.3,728.1
MHK,7/30/2024,13:08:46,NA,15.866,12.4,125.4,0.87,0,NA,7.61,NA,92.8,0.04,60,NA,41.76789,-74.15557,380.7,728
MHK,7/30/2024,13:09:10,NA,15.226,12.28,122.5,0.71,-0.09,NA,7.54,NA,92.3,0.04,60,NA,41.76786,-74.15555,379.9,728
MHK,7/30/2024,13:09:37,NA,14.195,12.43,121.1,0.68,-0.1,NA,7.49,NA,91.7,0.04,60,NA,41.76786,-74.15557,376.4,728
MHK,7/30/2024,13:10:02,NA,13.852,12.52,121.1,0.69,-0.01,NA,7.46,NA,91.4,0.04,59,NA,41.76788,-74.15556,376.5,728
MHK,7/30/2024,13:10:25,NA,13.375,12.61,120.7,0.79,0.04,NA,7.45,NA,90.8,0.04,59,NA,41.76786,-74.15556,377.8,728.1
MHK,7/30/2024,13:10:50,NA,12.687,12.6,118.8,0.79,0.03,NA,7.44,NA,91.2,0.04,59,NA,41.76785,-74.15557,378.3,728
MHK,7/30/2024,13:11:15,NA,11.797,12.52,115.7,0.73,0.03,NA,7.41,NA,91.7,0.04,60,NA,41.76786,-74.15556,376.8,728.1
MHK,7/30/2024,13:11:42,NA,11.039,12.37,112.4,0.84,0.1,NA,7.37,NA,91.9,0.04,60,NA,41.76787,-74.15558,374.2,728
MHK,7/30/2024,13:12:10,NA,10.535,12.07,108.3,0.67,0.05,NA,7.31,NA,91.4,0.04,59,NA,41.76786,-74.15559,375.1,728
MHK,7/30/2024,13:12:36,NA,9.895,11.77,104.1,0.65,0.04,NA,7.26,NA,91.5,0.04,59,NA,41.76787,-74.15559,374,728
MHK,7/30/2024,13:13:13,NA,9.021,10.93,94.6,0.5,0.04,NA,7.15,NA,91.7,0.04,60,NA,41.76784,-74.15558,372.9,728.1
MHK,7/30/2024,13:13:35,NA,8.66,10.41,89.3,0.43,0.04,NA,7.09,NA,91.6,0.04,60,NA,41.76786,-74.15559,372.4,728.1
MHK,7/30/2024,13:14:01,NA,8.236,9.64,81.9,0.39,0.1,NA,7.01,NA,91.8,0.04,60,NA,41.76787,-74.15562,371.2,728
MHK,7/30/2024,13:14:26,NA,7.943,9,75.9,0.69,0.14,NA,6.94,NA,92,0.04,60,NA,41.76787,-74.15562,371.8,728
MHK,7/30/2024,13:14:49,NA,7.739,8.57,71.9,0.41,0.19,NA,6.89,NA,92.5,0.04,60,NA,41.76788,-74.15561,372.6,728
MHK,7/30/2024,13:15:15,NA,7.527,8.06,67.3,0.45,0.15,NA,6.84,NA,92.6,0.04,60,NA,41.76788,-74.1556,376.2,728
MHK,7/30/2024,13:15:40,NA,7.351,7.53,62.6,0.84,0.26,NA,6.79,NA,92.3,0.04,60,NA,41.76789,-74.1556,377.6,728
MHK,7/30/2024,13:16:06,NA,6.929,6.81,56,0.26,0.12,NA,6.74,NA,93,0.04,60,NA,41.76786,-74.15556,375.1,727.9
MHK,7/30/2024,13:16:38,NA,6.598,5.56,45.4,0.21,0.1,NA,6.67,NA,93.6,0.04,61,NA,41.76783,-74.15556,366.3,728
MHK,7/30/2024,13:17:10,NA,6.506,4.67,38,0.18,0.08,NA,6.61,NA,93.8,0.04,61,NA,41.76783,-74.15553,372.7,728
MHK,7/30/2024,13:17:37,NA,6.347,3.89,31.5,0.13,0.06,NA,6.57,NA,94.1,0.04,61,NA,41.76794,-74.15564,388.4,727.9
MHK,7/30/2024,13:17:59,NA,6.214,3.15,25.5,0.64,0.21,NA,6.54,NA,94.5,0.04,61,NA,41.76795,-74.15562,398.2,727.9
MHK,7/30/2024,13:18:22,NA,6.152,2.46,19.8,0.11,0.07,NA,6.51,NA,95.2,0.04,62,NA,41.76795,-74.15562,405.5,727.9
MHK,7/30/2024,13:18:48,NA,6.112,1.68,13.6,0.07,0.06,NA,6.5,NA,95.7,0.04,62,NA,41.76794,-74.15562,407,727.9
MHK,7/30/2024,13:19:11,NA,6.055,1.23,9.9,0.1,0.08,NA,6.48,NA,96,0.04,62,NA,41.76793,-74.15562,402.4,727.9
MHK,7/30/2024,13:19:19,NA,6.038,1.11,9,0.12,0.07,NA,6.48,NA,96.1,0.04,62,NA,41.76793,-74.1556,400.8,727.9
MHK,7/30/2024,13:19:48,NA,5.977,0.79,6.3,0.07,0.05,NA,6.46,NA,96.8,0.05,63,NA,41.76796,-74.15563,401.8,727.9
MHK,7/30/2024,13:20:14,NA,5.965,0.58,4.6,0.1,0.09,NA,6.45,NA,97.4,0.05,63,NA,41.76809,-74.15573,426.3,728
MHK,7/30/2024,13:20:45,NA,5.912,0.45,3.6,1.23,0.91,NA,6.43,NA,99.8,0.05,65,NA,41.76795,-74.15562,410.4,727.9
